results_HMMcopy,ERS2540980,1962
results_HMMcopy,ERS2540986,2039
results_HMMcopy,ERS2541039,1942
results_HMMcopy,ERS2541051,1637
results_HMMcopy,ERS2541061,1693
results_HMMcopy,ERS2541062,1431
results_HMMcopy,ERS2541126,1999
results_HMMcopy,ERS2541183,1770
results_HMMcopy,ERS2541208,1988
results_HMMcopy,ERS2541212,2050
results_HMMcopy,ERS2541222,1995
results_HMMcopy,ERS2541247,1689
results_HMMcopy,ERS2541251,1651
results_HMMcopy,ERS2541258,1950
results_HMMcopy,ERS2541264,2081
results_HMMcopy,ERS2541274,2045
results_HMMcopy,ERS2541279,1749
results_HMMcopy,ERS2541289,2086
results_HMMcopy,ERS2541304,2091
results_HMMcopy,ERS2541308,1872
results_HMMcopy,ERS2541317,1912
results_HMMcopy,ERS2541319,1986
results_HMMcopy,ERS2541335,2036
results_HMMcopy,ERS2541342,1642
results_HMMcopy,ERS2541358,1686
results_HMMcopy,ERS542306,1956
results_HMMcopy,ERS542334,1447
results_HMMcopy,ERS542366,1988
results_HMMcopy,ERS542398,1929
results_HMMcopy,ERS542440,1958
results_HMMcopy,ERS542496,1608
results_HMMcopy,SRS404468,1964
results_HMMcopy,SRS404475,1801
results_HMMcopy,SRS404481,1843
results_HMMcopy,SRS404518,2010
results_HMMcopy,SRS404743,1958
results_HMMcopy,SRS404772,2022
results_HMMcopy,SRS404793,1767
results_HMMcopy,SRS405109,1765
results_HMMcopy,SRS405137,2024
results_HMMcopy,SRS405145,2018
results_HMMcopy,SRS409062,2089
results_HMMcopy,SRS409064,2030
results_HMMcopy,SRS417571,2055
results_HMMcopy,SRS417594,2060
results_HMMcopy,SRS417606,1946
results_HMMcopy,SRS417641,1791
results_HMMcopy,SRS417642,2018
results_HMMcopy,SRS417652,1942
results_HMMcopy,SRS520178,2041
results_HMMcopy,SRS520182,2097
results_HMMcopy,SRS881238,1865
results_HMMcopy,SRS885841,1990
results_HMMcopy,SRS885892,1932
results_HMMcopy,SRS885893,1837
results_HMMcopy,SRS885916,1679
results_HMMcopy_AneuFinder,ERS1142697,2054
results_HMMcopy_AneuFinder,ERS1142778,2140
results_HMMcopy_AneuFinder,ERS1142791,2257
results_HMMcopy_AneuFinder,ERS1142798,2103
results_HMMcopy_AneuFinder,ERS1142815,1837
results_HMMcopy_AneuFinder,ERS1142819,2374
results_HMMcopy_AneuFinder,ERS1142844,2280
results_HMMcopy_AneuFinder,ERS1142866,2330
results_HMMcopy_AneuFinder,ERS1142869,2281
results_HMMcopy_AneuFinder,ERS1142878,2478
results_HMMcopy_AneuFinder,ERS1142889,2716
results_HMMcopy_AneuFinder,ERS1142893,2634
results_HMMcopy_AneuFinder,ERS2540945,2572
results_HMMcopy_AneuFinder,ERS2540951,2711
results_HMMcopy_AneuFinder,ERS2540980,2450
results_HMMcopy_AneuFinder,ERS2540986,2659
results_HMMcopy_AneuFinder,ERS2541039,2636
results_HMMcopy_AneuFinder,ERS2541051,2928
results_HMMcopy_AneuFinder,ERS2541061,2328
results_HMMcopy_AneuFinder,ERS2541062,2094
results_HMMcopy_AneuFinder,ERS2541126,2726
results_HMMcopy_AneuFinder,ERS2541183,2576
results_HMMcopy_AneuFinder,ERS2541208,2763
results_HMMcopy_AneuFinder,ERS2541212,2667
results_HMMcopy_AneuFinder,ERS2541222,2695
results_HMMcopy_AneuFinder,ERS2541247,2279
results_HMMcopy_AneuFinder,ERS2541251,2419
results_HMMcopy_AneuFinder,ERS2541258,2612
results_HMMcopy_AneuFinder,ERS2541264,2769
results_HMMcopy_AneuFinder,ERS2541274,2712
results_HMMcopy_AneuFinder,ERS2541279,2733
results_HMMcopy_AneuFinder,ERS2541289,2913
results_HMMcopy_AneuFinder,ERS2541304,3119
results_HMMcopy_AneuFinder,ERS2541308,2457
results_HMMcopy_AneuFinder,ERS2541317,2753
results_HMMcopy_AneuFinder,ERS2541319,2994
results_HMMcopy_AneuFinder,ERS2541335,2730
results_HMMcopy_AneuFinder,ERS2541342,2241
results_HMMcopy_AneuFinder,ERS2541358,2222
results_HMMcopy_AneuFinder,ERS542306,2380
results_HMMcopy_AneuFinder,ERS542334,1877
results_HMMcopy_AneuFinder,ERS542366,2681
results_HMMcopy_AneuFinder,ERS542398,2645
results_HMMcopy_AneuFinder,ERS542440,2587
results_HMMcopy_AneuFinder,ERS542496,2209
results_HMMcopy_AneuFinder,SRS404468,2584
results_HMMcopy_AneuFinder,SRS404475,2346
results_HMMcopy_AneuFinder,SRS404481,2478
results_HMMcopy_AneuFinder,SRS404518,2671
results_HMMcopy_AneuFinder,SRS404743,2653
results_HMMcopy_AneuFinder,SRS404772,2721
results_HMMcopy_AneuFinder,SRS404793,2239
results_HMMcopy_AneuFinder,SRS405109,2262
results_HMMcopy_AneuFinder,SRS405137,2639
results_HMMcopy_AneuFinder,SRS405145,2604
results_HMMcopy_AneuFinder,SRS409062,2708
results_HMMcopy_AneuFinder,SRS409064,2710
results_HMMcopy_AneuFinder,SRS417571,2713
results_HMMcopy_AneuFinder,SRS417594,2630
results_HMMcopy_AneuFinder,SRS417606,2597
results_HMMcopy_AneuFinder,SRS417641,2476
results_HMMcopy_AneuFinder,SRS417642,2574
results_HMMcopy_AneuFinder,SRS417652,2586
results_HMMcopy_AneuFinder,SRS520178,2707
results_HMMcopy_AneuFinder,SRS520182,2775
results_HMMcopy_AneuFinder,SRS881238,2518
results_HMMcopy_AneuFinder,SRS885841,2594
results_HMMcopy_AneuFinder,SRS885892,2679
results_HMMcopy_AneuFinder,SRS885893,2560
results_HMMcopy_AneuFinder,SRS885916,2360
