SRS885893	Desjardins	VNBI
SRS885892	Desjardins	VNBI
SRS885841	Desjardins	VNBI
SRS881238	Desjardins	VNBI
SRS417652	Desjardins	VNBII
SRS417606	Desjardins	VNBII
SRS404743	Desjardins	VNBII
SRS404468	Desjardins	VNBII
SRS885916	Desjardins	VNI
SRS520178	Desjardins	VNI
SRS417642	Desjardins	VNI
SRS417594	Desjardins	VNI
SRS409064	Desjardins	VNI
SRS409062	Desjardins	VNI
SRS405145	Desjardins	VNI
SRS405137	Desjardins	VNI
SRS405109	Desjardins	VNI
SRS404793	Desjardins	VNI
SRS404772	Desjardins	VNI
SRS404518	Desjardins	VNI
SRS404481	Desjardins	VNI
SRS404475	Desjardins	VNI
SRS520182	Desjardins	VNII
SRS417641	Desjardins	VNII
SRS417571	Desjardins	VNII
ERS542496	Ashton	VNI
ERS542398	Ashton	VNI
ERS542366	Ashton	VNI
ERS542334	Ashton	VNI
ERS2541358	Ashton	VNI
ERS2541342	Ashton	VNI
ERS2541335	Ashton	VNI
ERS2541319	Ashton	VNI
ERS2541317	Ashton	VNI
ERS2541308	Ashton	VNI
ERS2541304	Ashton	VNI
ERS2541289	Ashton	VNI
ERS2541274	Ashton	VNI
ERS2541264	Ashton	VNI
ERS2541258	Ashton	VNI
ERS2541251	Ashton	VNI
ERS2541247	Ashton	VNI
ERS2541222	Ashton	VNI
ERS2541212	Ashton	VNI
ERS2541208	Ashton	VNI
ERS2541126	Ashton	VNI
ERS2541061	Ashton	VNI
ERS2541051	Ashton	VNI
ERS2540986	Ashton	VNI
ERS2540980	Ashton	VNI
ERS2540951	Ashton	VNI
ERS2540945	Ashton	VNI
ERS1142893	Ashton	VNI
ERS1142878	Ashton	VNI
ERS1142869	Ashton	VNI
ERS1142844	Ashton	VNI
ERS1142819	Ashton	VNI
ERS1142815	Ashton	VNI
ERS1142798	Ashton	VNI
ERS1142778	Ashton	VNI
ERS1142697	Ashton	VNI
