SRS881178,67813,62890
SRS881184,66506,61614
SRS881232,69613,65255
SRS885855,69079,64451
SRS885893,71277,63128
SRS881243,68723,60290
SRS881143,71075,66404
SRS881161,64987,58095
SRS881156,55230,49620
SRS881213,62764,57961
SRS885173,72086,63164
SRS885889,54417,49742
SRS885168,70327,65494
SRS881185,83039,68113
SRS881149,66648,62110
SRS881202,41112,35069
SRS881168,73807,68658
SRS881191,67760,62722
SRS881238,67968,63183
SRS885171,83306,76887
SRS881162,71258,64890
SRS881205,74159,68902
SRS881235,69601,64384
SRS885915,69426,63999
SRS881216,60798,55133
SRS881189,74647,67655
SRS885892,79530,74021
SRS881204,38696,35324
SRS881188,68437,61595
SRS885884,42811,38385
SRS881236,72758,65455
SRS881228,71746,66569
SRS885843,39967,35121
SRS881227,68815,63549
SRS881214,66223,61653
SRS885170,37594,33676
SRS881222,68896,63988
SRS881183,69132,63908
SRS885854,69583,64377
SRS881246,39684,35096
SRS881210,74437,62342
SRS881217,69498,64679
SRS881170,60012,49301
SRS881226,73950,67042
SRS881160,39712,34968
SRS885880,69701,63679
SRS885192,74609,67155
SRS881174,60802,55525
SRS881200,37507,34266
SRS881234,69537,64129
SRS881148,68034,62275
SRS881207,67903,63418
SRS885188,70964,64389
SRS881229,66797,62079
SRS881206,67869,63408
SRS881166,74028,63591
SRS881219,70472,64550
SRS885853,74969,65041
SRS881172,69155,62957
SRS885863,73581,65376
SRS881245,70169,65788
SRS885916,38888,34881
SRS881196,38883,35621
SRS885875,67339,62480
SRS881140,74717,66659
SRS881177,68567,62754
SRS881237,55044,46643
SRS881151,71899,64146
SRS885874,39178,35158
SRS881225,76774,70356
SRS881240,71662,64664
SRS881215,69996,64386
SRS881199,71713,66248
SRS881194,70027,64670
SRS881241,38601,35265
SRS881159,68472,61608
SRS885191,66993,62987
SRS881221,71969,67059
SRS881212,77809,71917
SRS885841,77690,64521
SRS881147,68302,62887
SRS881220,37018,33721
SRS881218,70856,66126
SRS881224,67477,62315
SRS885894,69886,64443
SRS885816,72672,66680
SRS881211,70753,61973
SRS881198,72208,66412
SRS885879,39268,35246
SRS881157,64948,58443
SRS885857,72047,66844
SRS881193,66544,61776
SRS881233,68014,62968
SRS881142,39901,34350
SRS885167,63089,57092
SRS881201,73326,66018
SRS885865,67687,63036
SRS885878,70752,65749
SRS881223,72661,66762
SRS885169,72141,65044
SRS885877,73198,58977
SRS885882,71642,65111
SRS881150,70128,65122
SRS885176,71282,66215
SRS881239,41914,33509
SRS885847,72614,62087
SRS881173,67897,63216
SRS885871,74043,64835
SRS881242,68073,63285
SRS885174,51722,47714
SRS881244,41113,35199
SRS881175,70523,63641
SRS881152,39548,35144
SRS881171,68300,62392
SRS881208,52542,48011
SRS881180,84855,77611
SRS881176,65106,59433
SRS885851,97753,42827
SRS885852,72599,66454
SRS881169,37854,33677
SRS885177,67651,58784
SRS885186,71332,63099
SRS885887,67002,62100
SRS881247,66730,62551
SRS885888,70430,63430
SRS881165,71450,66318
SRS881181,65076,60382
SRS885850,70523,64649
SRS881203,66453,61841
SRS885172,53539,47029
SRS881164,78818,72017
SRS881155,69031,64415
SRS885842,72319,66734
SRS885833,75309,69832
SRS881197,40463,35205
SRS881179,68395,64125
SRS881158,71296,66926
SRS885858,68744,63403
SRS409479,52731,48996
SRS409112,68474,63965
SRS409066,75317,70483
SRS409058,15865,13236
SRS409061,75627,71532
SRS409060,51272,47908
SRS409059,50901,47316
SRS409482,2704,575
SRS409074,52546,48781
SRS409075,253198,28749
SRS409065,75972,71367
SRS409062,37392,33958
SRS409076,50321,46494
SRS409781,51112,47914
SRS409175,50536,47076
SRS409176,76530,72875
SRS409478,16378,13783
SRS403287,52206,48817
SRS409113,53207,49248
SRS409063,50532,46972
SRS409483,69406,65828
SRS523961,38509,35492
SRS409064,50538,47015
SRS409177,52061,48568
SRS409067,2001,265
SRS404442,38227,35408
SRS404443,50415,47128
SRS404444,37239,33874
SRS404447,52109,48642
SRS404448,72318,68659
SRS404449,38003,35282
SRS404451,36687,33884
SRS404452,30101,27797
SRS404454,38897,36094
SRS404456,17947,15528
SRS404457,51937,48714
SRS404458,59173,55383
SRS404460,38434,35544
SRS404461,65979,62112
SRS404462,2241,482
SRS404463,61705,58114
SRS404475,40230,37263
SRS404466,50260,46888
SRS404467,65941,62454
SRS404468,72301,68121
SRS404469,67664,63719
SRS404470,37162,33862
SRS404472,66345,62447
SRS404473,69194,64985
SRS404477,73410,69571
SRS404479,16249,13945
SRS404480,38224,35471
SRS404481,50645,47015
SRS404488,37686,35017
SRS404484,55201,51441
SRS404485,41313,38061
SRS404486,36541,33938
SRS404489,38139,35446
SRS404490,53068,49174
SRS404491,38044,35182
SRS404492,2193,251
SRS404493,39876,36804
SRS404494,43683,40563
SRS404495,70455,66082
SRS404496,15450,13158
SRS404498,40941,37678
SRS404499,67677,63820
SRS404501,38492,35524
SRS404503,52031,48246
SRS404505,39207,36672
SRS404506,69152,65274
SRS404507,37952,35493
SRS404508,38687,35702
SRS404511,38357,35190
SRS404512,36946,33999
SRS404513,33457,30457
SRS404514,68992,64747
SRS404516,16287,13959
SRS404517,39378,36364
SRS404518,50710,47025
SRS404735,1818,96
SRS404739,62901,58965
SRS404740,59707,47322
SRS404741,1826,103
SRS404743,77286,72666
SRS404746,66025,62497
SRS404745,53970,50063
SRS404750,68868,64863
SRS404759,38553,35832
SRS404753,53623,50019
SRS404766,37110,34110
SRS404755,66655,62756
SRS404756,41247,37480
SRS404760,52239,48475
SRS404761,2306,309
SRS404775,44275,41126
SRS404765,62477,59122
SRS404772,50591,47022
SRS404773,53346,49222
SRS404786,37669,34987
SRS404777,36450,33834
SRS404792,36640,33838
SRS404778,61104,57707
SRS404779,76138,71573
SRS404780,42465,39205
SRS404781,74453,70819
SRS404782,39460,36314
SRS404783,36512,33921
SRS404784,63916,60116
SRS404785,38123,35427
SRS404789,71172,67082
SRS404788,38505,35579
SRS404791,36531,33867
SRS404793,30271,27726
SRS404795,16380,13863
SRS404794,36802,33864
SRS404797,2399,239
SRS404800,70836,66858
SRS404808,2660,737
SRS404803,14738,12470
