Gene,Essential,Essentiality Standard Deviation,Essentiality P-value,Essentiality Classification,Mean(Log10(Fluconazole/DMSO frequency)) in Gene Body,P value of Mean Fold Change in Gene Body Compared to Intergenic Inserts,Mean(Log10(Fluconazole/DMSO frequency)) in 5' 300 bases,P value of Mean Fold Change in 5' 300 bases Compared to Intergenic Inserts,Insert sites in Gene Body,Insert sites in 300 bases to 5' of ATG,In Madhani Deletion Collection,Human Ortholog
CNAG_00119,0.192898,0.065126908,1.21E-69,NESS,0.041643339,0.591866246,-0.270452201,0.206142851,14,7,TRUE,FALSE
CNAG_00122,0,0,0,NESS,0.077090339,0.117733085,0.231333607,0.130034446,50,5,TRUE,FALSE
CNAG_00123,2.40E-05,5.71E-05,0,NESS,-0.018947338,0.99790454,-0.092626901,0.314675479,29,17,TRUE,FALSE
CNAG_00124,0,0,0,NESS,-0.16896172,0.023680733,-0.154599094,0.107516863,30,16,TRUE,FALSE
CNAG_00127,7.20E-05,0.000101583,0,NESS,-0.138786939,0.021240076,-0.28659795,5.00E-06,41,40,TRUE,FALSE
CNAG_00128,3.00E-05,8.70E-05,0,NESS,-0.043161036,0.570260129,0.103988762,0.119662506,92,28,TRUE,FALSE
CNAG_00129,0.012367,0.009462388,1.52E-171,NESS,-0.068386662,0.472710532,0.180688854,0.002646615,12,27,TRUE,FALSE
CNAG_00130,2.00E-06,1.41E-05,0,NESS,-0.308863339,3.90E-09,-0.098944792,0.470960445,61,10,TRUE,FALSE
CNAG_00131,0,0,0,NESS,-0.074857931,0.555860249,-0.132758828,0.155442721,50,20,TRUE,FALSE
CNAG_00134,1.00E-06,1.00E-05,0,NESS,-0.188377753,0.004737805,-0.030676973,0.928985854,46,65,TRUE,FALSE
CNAG_00135,3.80E-05,6.63E-05,0,NESS,-0.311560397,0.001415244,-0.024483511,0.800989834,19,64,TRUE,FALSE
CNAG_00137,0.965745,0.022905856,1.33E-131,ESS,NA,NA,-0.211484296,0.001652381,0,33,TRUE,FALSE
CNAG_00139,3.00E-06,1.71E-05,0,NESS,0.123746001,0.077469777,-0.081988995,0.109772432,25,85,TRUE,FALSE
CNAG_00141,0,0,0,NESS,-0.019628776,0.939601614,-0.04559097,0.835466137,38,6,TRUE,FALSE
CNAG_00144,1.00E-06,1.00E-05,0,NESS,-0.07380459,0.434748482,0.02822012,0.400291888,42,24,TRUE,FALSE
