Gene,Essential,Essentiality Standard Deviation,Essentiality P-value,Essentiality Classification,Mean(Log10(Fluconazole/DMSO frequency)) in Gene Body,P value of Mean Fold Change in Gene Body Compared to Intergenic Inserts,Mean(Log10(Fluconazole/DMSO frequency)) in 5' 300 bases,P value of Mean Fold Change in 5' 300 bases Compared to Intergenic Inserts,Insert sites in Gene Body,Insert sites in 300 bases to 5' of ATG,In Madhani Deletion Collection,Human Ortholog
CNAG_06389,0.000417,0.000365716,1.88841837818707e-312,NESS,-0.017105976,0.888356017,0.659272521,NA,34,1,TRUE,FALSE
CNAG_06390,7.20E-05,0.000111988,0,NESS,0.06063615,0.10234264,-0.036299113,0.918159439,45,58,TRUE,FALSE
CNAG_06394,8.70E-05,0.000126055,0,NESS,-0.058379539,0.298805243,-0.173759831,0.073845461,30,14,TRUE,FALSE
CNAG_06395,0.00024,0.000236984,0,NESS,-0.083977293,0.367837273,-0.071260419,0.668284138,21,12,TRUE,FALSE
CNAG_06396,0.015302,0.010171936,3.54E-168,NESS,-0.005280721,0.818808574,0.07131631,0.043892492,17,49,TRUE,FALSE
CNAG_06402,0.654149,0.070754273,1.49E-39,ESS,NA,NA,0.098964687,0.279200008,0,8,TRUE,FALSE
CNAG_06403,0.000143,0.000142315,0,NESS,-0.06549515,0.649097618,-0.167493997,0.168461226,18,9,TRUE,FALSE
CNAG_06404,0.000239,0.000249401,0,NESS,0.012598948,0.743107293,0.090565925,0.367074548,15,16,TRUE,FALSE
CNAG_06405,1.00E-06,1.00E-05,0,NESS,0.065961748,0.295280781,0.020758952,0.599716613,52,14,TRUE,FALSE
CNAG_06406,1.00E-06,1.00E-05,0,NESS,-0.092267165,0.420269573,0.097939583,0.048027404,29,37,TRUE,FALSE
CNAG_06407,8.00E-05,0.000109175,0,NESS,-0.142049748,0.191369423,0.041657993,0.1668055,15,63,TRUE,FALSE
CNAG_06413,5.40E-05,0.000107703,0,NESS,0.054533299,0.462909046,0.119736018,0.024061803,20,30,TRUE,FALSE
CNAG_06423,3.00E-06,2.23E-05,0,NESS,-0.114313367,0.418827185,-0.050915605,0.667705676,20,54,TRUE,FALSE
CNAG_06424,9.00E-06,2.88E-05,0,NESS,-0.002219392,0.416004665,0.109837139,0.005591658,49,53,TRUE,FALSE
CNAG_06425,5.00E-06,2.19E-05,0,NESS,0.281688709,5.90E-16,0.247197099,1.85E-05,93,32,TRUE,FALSE
CNAG_06427,0,0,0,NESS,-0.034343772,0.669026886,0.031785,0.202920471,37,67,TRUE,FALSE
CNAG_06432,1.00E-06,1.00E-05,0,NESS,-0.070804112,0.614644132,0.022588959,0.226732955,43,64,TRUE,FALSE
CNAG_06435,2.10E-05,8.68E-05,0,NESS,0.11580199,0.015723931,-0.016678855,0.832918663,34,20,TRUE,FALSE
CNAG_06436,0.003393,0.001881127,8.89E-242,NESS,-0.137907217,0.578519245,0.011086977,0.648371391,6,27,TRUE,FALSE
CNAG_06439,6.00E-06,2.39E-05,0,NESS,-0.106921404,0.0486757,0.055369467,0.250582663,40,31,TRUE,FALSE
CNAG_06449,0.000527,0.000435972,6.93E-305,NESS,-0.022886447,0.58335153,-0.137941745,0.076957182,79,29,TRUE,FALSE
CNAG_06460,5.00E-06,2.19E-05,0,NESS,-0.045099301,0.689165099,-0.063641847,0.390083074,73,65,TRUE,FALSE
CNAG_06467,0.000205,0.00019404,0,NESS,0.066621748,0.272302539,0.126938891,0.018269529,16,39,TRUE,FALSE
CNAG_06470,0.001049,0.000878761,1.05E-274,NESS,-0.022356693,0.513773436,-0.30479878,0.001052334,17,19,TRUE,FALSE
CNAG_06473,0.844375,0.048151359,4.91E-87,ESS,0.493072347,0.012464566,0.365701392,3.43E-08,4,34,TRUE,FALSE
CNAG_06475,0.818907,0.03698879,6.05E-95,ESS,0.532482675,0.018699888,0.675924676,1.59E-13,3,31,TRUE,FALSE
CNAG_06483,0.000105,0.000176025,0,NESS,0.092580426,0.070474081,0.01767449,0.454542961,38,36,TRUE,FALSE
CNAG_06484,0,0,0,NESS,-0.023974724,0.926690574,0.039686342,0.276581302,25,23,TRUE,FALSE
CNAG_06485,3.30E-05,6.67E-05,0,NESS,-0.00364638,0.803250959,0.040153566,0.236990671,78,29,TRUE,FALSE
CNAG_06486,0.000274,0.000356362,1.41173388819026e-313,NESS,0.172774048,0.001576643,0.022674315,0.241160763,32,37,TRUE,FALSE
CNAG_06491,3.70E-05,7.20E-05,0,NESS,-0.077397669,0.532720378,-0.056055168,0.450229564,21,60,TRUE,FALSE
CNAG_06493,1.10E-05,3.14E-05,0,NESS,-0.06209246,0.357962855,-0.099068962,0.215797764,41,15,TRUE,FALSE
CNAG_06498,6.00E-06,2.39E-05,0,NESS,-0.024359568,0.962947381,-0.023758654,0.844995329,57,20,TRUE,FALSE
CNAG_06501,0,0,0,NESS,-0.067166696,0.204699862,-0.079178017,0.311329943,54,60,TRUE,FALSE
CNAG_06503,0,0,0,NESS,-0.021787578,0.951546762,-0.044535984,0.914459112,71,14,TRUE,FALSE
CNAG_06504,0,0,0,NESS,0.071281685,0.191364419,-0.027095005,0.624354163,63,7,TRUE,FALSE
CNAG_06505,5.90E-05,0.000113791,0,NESS,-0.086160412,0.1429606,-0.076187917,0.369308385,65,41,TRUE,FALSE
CNAG_06507,2.00E-06,1.41E-05,0,NESS,-0.081332381,0.334421379,-0.065529034,0.743304187,40,24,TRUE,FALSE
CNAG_06509,0.000997,0.00085475,6.71E-276,NESS,0.041512925,0.287879897,0.100406369,0.035156639,32,27,TRUE,FALSE
CNAG_06511,2.00E-05,4.26E-05,0,NESS,-0.08235438,0.64246274,-0.187320973,0.423106458,31,3,TRUE,FALSE
CNAG_06515,5.00E-06,2.19E-05,0,NESS,0.109997635,0.277256083,-0.449595422,0.040926426,19,5,TRUE,FALSE
CNAG_06516,0.015765,0.010479324,7.41E-167,NESS,0.253860451,0.049244574,-0.136965046,0.228765324,7,11,TRUE,FALSE
CNAG_06517,0.002342,0.002220209,9.62E-235,NESS,0.060792667,0.071323209,-0.531875879,0.015439669,45,5,TRUE,FALSE
CNAG_06518,0.073139,0.024715426,1.32E-124,NESS,-0.35718149,0.101775613,-0.050085136,0.711927746,4,19,TRUE,FALSE
CNAG_06530,0.007962,0.006016455,2.14E-191,NESS,-0.002303721,0.942327195,-0.180908192,0.080805959,9,19,TRUE,FALSE
CNAG_06531,2.80E-05,6.21E-05,0,NESS,0.021140979,0.411869255,0.192275717,0.070834469,36,18,TRUE,FALSE
CNAG_06532,1.00E-06,1.00E-05,0,NESS,-0.153366243,0.041491477,0.127329421,0.003154102,36,33,TRUE,FALSE
CNAG_06536,3.20E-05,5.84E-05,0,NESS,0.002658971,0.554488289,0.156460626,0.081284159,38,17,TRUE,FALSE
CNAG_06538,0,0,0,NESS,0.048741869,0.45580762,0.130171981,0.017042793,42,23,TRUE,FALSE
CNAG_06540,0,0,0,NESS,0.077851279,0.054851942,0.218284057,0.001648011,52,26,TRUE,FALSE
CNAG_06546,0,0,0,NESS,0.060836117,0.221794314,-0.028964284,0.727133941,31,6,TRUE,FALSE
CNAG_06554,7.20E-05,9.65E-05,0,NESS,-0.160872423,0.322720785,-0.113474277,0.173713296,25,26,TRUE,FALSE
CNAG_06556,1.00E-06,1.00E-05,0,NESS,-0.03494555,0.749170494,0.018187861,0.731338248,67,20,TRUE,FALSE
CNAG_06557,0,0,0,NESS,-0.034945509,0.920729928,-0.160938108,0.183630192,55,20,TRUE,FALSE
CNAG_06561,0,0,0,NESS,0.020764908,0.464419781,-0.085769184,0.184743975,84,21,TRUE,FALSE
CNAG_06562,0.000194,0.000216408,0,NESS,-0.028137235,0.760207706,-0.490578368,0.012868444,19,4,TRUE,FALSE
CNAG_06565,0.000864,0.000793473,4.14E-279,NESS,-0.146533896,0.4071837,0.07321495,0.235465449,8,29,TRUE,FALSE
CNAG_06567,0,0,0,NESS,-0.153808715,0.013673382,-0.028413899,0.87635775,52,19,TRUE,FALSE
CNAG_06568,0,0,0,NESS,-0.240314292,1.86E-05,-0.504835125,0.012091713,36,4,TRUE,FALSE
CNAG_06570,1.00E-06,1.00E-05,0,NESS,-0.023263449,0.619662814,-0.048546289,0.710314958,34,51,TRUE,FALSE
CNAG_06573,0.002251,0.000998028,3.96E-269,NESS,-0.01138198,0.990483584,0.026277492,0.698157952,19,16,TRUE,FALSE
CNAG_06574,2.50E-05,5.39E-05,0,NESS,0.034344805,0.206706356,0.080979785,0.003559974,33,95,TRUE,FALSE
CNAG_06576,0.000624,0.000498304,3.93E-299,NESS,0.021850391,0.977237624,0.035594003,0.249902152,28,23,TRUE,FALSE
CNAG_06577,0.001316,0.000976255,3.71E-270,NESS,-0.188052412,0.144885488,0.024775572,0.083257058,28,93,TRUE,FALSE
CNAG_06578,0.002178,0.001427195,9.34E-254,NESS,-0.080886684,0.718147173,-0.1358478,0.057206886,11,39,TRUE,FALSE
CNAG_06583,0.01093,0.010529204,4.43E-167,NESS,-0.015631061,0.859466126,-0.11988215,0.166182177,36,33,TRUE,FALSE
CNAG_06587,4.30E-05,9.13E-05,0,NESS,-0.149925897,0.056319107,0.209818593,6.33E-05,19,34,TRUE,FALSE
CNAG_06589,2.10E-05,6.24E-05,0,NESS,-0.084174574,0.557998002,0.029063941,0.41962883,26,37,TRUE,FALSE
CNAG_06591,3.40E-05,6.23E-05,0,NESS,-0.398421715,1.32E-10,-0.437838172,7.59E-08,48,29,TRUE,FALSE
CNAG_06593,1.30E-05,3.67E-05,0,NESS,-0.007792484,0.588879964,0.087599682,0.169074515,50,25,TRUE,FALSE
CNAG_06594,0,0,0,NESS,0.240226695,0.000383955,0.089265921,0.002825949,25,74,TRUE,FALSE
CNAG_06595,0,0,0,NESS,-0.046459795,0.468650228,0.252649663,5.33E-10,48,75,TRUE,FALSE
CNAG_06596,0.000303,0.000354325,8.05029853262581e-314,NESS,-0.047387851,0.774806572,0.102038361,0.298903491,13,7,TRUE,FALSE
CNAG_06597,2.90E-05,6.40E-05,0,NESS,1.139063082,1.99E-55,0.131175063,0.000829984,99,78,TRUE,FALSE
CNAG_06598,0.001077,0.001319003,3.06E-257,NESS,-0.038700953,0.368065668,-0.104309326,0.147160546,16,32,TRUE,FALSE
CNAG_06601,0,0,0,NESS,-0.041659438,0.611689278,-0.092946175,0.240043805,55,30,TRUE,FALSE
CNAG_06602,0.000927,0.001068356,2.58E-266,NESS,-0.0952608,0.215600465,-0.069173793,0.201331977,41,76,TRUE,FALSE
CNAG_06604,0,0,0,NESS,0.023411422,0.439027696,-0.255516478,6.53E-05,47,40,TRUE,FALSE
CNAG_06606,0.000246,0.000270585,0,NESS,-0.331379194,0.000524319,0.043814514,0.477487569,18,8,TRUE,FALSE
CNAG_06608,0.000734,0.000798891,7.91E-279,NESS,0.287894462,9.92E-10,-0.015763586,0.554882484,48,53,TRUE,FALSE
CNAG_06609,0.000132,0.000206403,0,NESS,0.026032128,0.23717168,0.036675364,0.356285173,60,10,TRUE,FALSE
CNAG_06610,7.00E-05,0.000156024,0,NESS,-0.013513325,0.80005723,0.139850934,0.116478851,71,20,TRUE,FALSE
CNAG_06617,0,0,0,NESS,-0.087875267,0.189099274,0.00062308,0.252130151,76,107,TRUE,FALSE
CNAG_06631,0,0,0,NESS,0.098827592,0.001523867,0.30631973,1.26E-07,63,34,TRUE,FALSE
CNAG_06643,0,0,0,NESS,0.166204772,0.040494713,-0.017654035,0.779135181,31,36,TRUE,FALSE
CNAG_06645,0.006757,0.0055804,9.80E-195,NESS,-0.147411419,0.406439556,-0.057059423,0.624258865,9,24,TRUE,FALSE
CNAG_06649,7.00E-06,2.56E-05,0,NESS,0.004280365,0.7472864,0.102998096,0.000795174,71,87,TRUE,FALSE
CNAG_06650,2.00E-05,6.03E-05,0,NESS,-0.200385541,0.028223965,0.093826708,0.073743913,17,27,TRUE,FALSE
CNAG_06651,1.00E-06,1.00E-05,0,NESS,-0.006959162,0.686246796,0.101352798,0.013329966,109,41,TRUE,FALSE
CNAG_06652,0,0,0,NESS,-0.087564516,0.107324923,-0.03709234,0.815642603,75,5,TRUE,FALSE
CNAG_06653,0.00382,0.001835728,8.62E-243,NESS,-0.026974265,0.951489727,-0.104484351,0.010304192,87,75,TRUE,FALSE
CNAG_06657,0,0,0,NESS,0.07888887,0.071886593,-0.085647016,0.056557057,39,75,TRUE,FALSE
CNAG_06660,0,0,0,NESS,0.311587595,7.71E-07,-0.141379055,0.107309469,35,21,TRUE,FALSE
CNAG_06661,3.00E-06,1.71E-05,0,NESS,0.175264083,0.000906075,0.268917979,0.034101341,36,11,TRUE,FALSE
CNAG_06662,0.000335,0.000341824,2.31290369721932e-315,NESS,0.040874105,0.312232065,-0.262898369,0.048548121,30,9,TRUE,FALSE
CNAG_06667,0,0,0,NESS,0.072540738,0.116279781,0.126623692,0.189831647,44,15,TRUE,FALSE
CNAG_06668,0,0,0,NESS,-0.042577713,0.576120385,0.047251658,0.136137845,54,53,TRUE,FALSE
CNAG_06669,1.00E-06,1.00E-05,0,NESS,0.012774226,0.556227016,0.00727817,0.444508058,33,49,TRUE,FALSE
CNAG_06671,1.10E-05,3.99E-05,0,NESS,-0.212800436,0.002495982,-0.007209321,0.697239831,36,16,TRUE,FALSE
CNAG_06672,0,0,0,NESS,0.048131373,0.076817878,-0.067293468,0.285237506,42,21,TRUE,FALSE
CNAG_06673,0,0,0,NESS,0.407754399,4.05E-08,0.075226103,0.003692264,28,83,TRUE,FALSE
CNAG_06681,2.00E-06,1.41E-05,0,NESS,-0.021411407,0.967625687,0.032981237,0.08146393,41,78,TRUE,FALSE
CNAG_06687,0.282321,0.063884049,1.72E-56,NESS,-0.063098527,0.627822811,0.105080045,0.04455066,18,33,TRUE,FALSE
CNAG_06690,4.00E-06,1.97E-05,0,NESS,0.031886896,0.15376637,-0.171915899,0.005435056,39,39,TRUE,FALSE
CNAG_06694,0.002264,0.001757841,8.65E-245,NESS,0.303479192,0.086264169,0.018169865,0.239863132,6,78,TRUE,FALSE
CNAG_06695,6.00E-06,2.78E-05,0,NESS,-0.231526725,0.041190212,-0.376760591,0.000140633,16,17,TRUE,FALSE
CNAG_06698,0.000517,0.000370109,6.281483661477e-312,NESS,-0.10459054,0.716917021,0.024765132,0.652625459,28,21,TRUE,FALSE
CNAG_06704,0.002344,0.001342718,2.30E-256,NESS,0.003991047,0.784614278,0.28518968,0.355126256,19,4,TRUE,FALSE
CNAG_06705,0.002465,0.001240835,9.53E-260,NESS,-0.04691561,0.662731658,-0.214923349,0.224913028,15,3,TRUE,FALSE
CNAG_06706,0.000348,0.000271725,0,NESS,-0.173776253,0.049673136,-0.14084677,0.264113146,11,20,TRUE,FALSE
CNAG_06707,0.001654,0.001266541,6.17E-259,NESS,-0.10284423,0.364554702,-0.109235926,0.718433897,15,10,TRUE,FALSE
CNAG_06718,7.00E-06,2.93E-05,0,NESS,-0.044240033,0.849822083,-0.104832524,0.692525893,52,9,TRUE,FALSE
CNAG_06719,0,0,0,NESS,-0.012354364,0.443883629,0.006732233,0.558864673,88,64,TRUE,FALSE
CNAG_06722,1.00E-06,1.00E-05,0,NESS,-0.073588435,0.630063194,-0.011934756,0.689362991,33,30,TRUE,FALSE
CNAG_06727,0,0,0,NESS,0.043579218,0.365707614,0.005000039,0.801397834,58,9,TRUE,FALSE
CNAG_06739,0.099852,0.034365967,9.75E-108,NESS,-0.177561963,0.936115401,0.101379491,0.019422309,3,41,TRUE,FALSE
CNAG_06751,0,0,0,NESS,-0.008244791,0.713890131,-0.033950941,0.663199213,34,40,TRUE,FALSE
CNAG_06752,0.000506,0.000489655,6.78E-300,NESS,-0.024711581,0.858566534,-0.006380292,0.917241848,25,47,TRUE,FALSE
CNAG_06758,0,0,0,NESS,-0.030311937,0.356866211,0.178330274,0.627885292,22,4,TRUE,FALSE
CNAG_06759,0,0,0,NESS,0.029703026,0.250319266,-0.198552786,0.074724028,43,20,TRUE,FALSE
CNAG_06760,0,0,0,NESS,-0.017061465,0.88044414,-0.045546929,0.770750476,54,38,TRUE,FALSE
CNAG_06761,0,0,0,NESS,-0.065522456,0.388171123,0.019035149,0.858795421,72,11,TRUE,FALSE
CNAG_06771,2.00E-06,1.41E-05,0,NESS,0.021492585,0.472638407,0.070512345,0.044816266,30,46,TRUE,FALSE
CNAG_06775,0.004039,0.002765841,3.78E-225,NESS,0.045691951,0.625127976,0.026176112,0.431492402,9,22,TRUE,FALSE
CNAG_06776,0.000219,0.000288043,9.88131291682493e-323,NESS,0.013338813,0.75713227,0.00270836,0.501652141,40,26,TRUE,FALSE
CNAG_06777,0,0,0,NESS,-0.077588542,0.474984426,-0.288275318,0.002777378,39,21,TRUE,FALSE
CNAG_06781,0.003299,0.002564895,1.87E-228,NESS,0.046972373,0.767514025,-0.13705341,0.105083299,10,47,TRUE,FALSE
CNAG_06783,0,0,0,NESS,0.026284368,0.760457444,0.02149455,0.54280464,44,10,TRUE,FALSE
CNAG_06786,3.60E-05,9.16E-05,0,NESS,-0.126096688,0.051764653,-0.007025845,0.666017452,37,43,TRUE,FALSE
CNAG_06787,5.20E-05,8.70E-05,0,NESS,-0.019063583,0.53353794,-0.345787563,0.247471365,36,2,TRUE,FALSE
CNAG_06791,5.00E-06,2.19E-05,0,NESS,-0.004357744,0.940528674,-0.295513362,0.042590747,30,14,TRUE,FALSE
CNAG_06794,2.00E-06,1.41E-05,0,NESS,0.049344868,0.522741034,-0.161159342,0.827625643,17,4,TRUE,FALSE
CNAG_06795,1.90E-05,4.43E-05,0,NESS,0.189582795,0.281994941,0.056131642,0.8648207,6,7,TRUE,FALSE
CNAG_06800,0.023104,0.012238925,1.57E-159,NESS,-0.168620053,0.507378463,0.10585789,0.09299446,3,23,TRUE,FALSE
CNAG_06804,0,0,0,NESS,0.075222671,0.044484699,-0.009158167,0.815347691,58,6,TRUE,FALSE
CNAG_06805,0.001251,0.001060445,1.32E-266,NESS,-0.036511842,0.66532856,-0.339594812,0.060959428,48,3,TRUE,FALSE
CNAG_06809,0,0,0,NESS,-0.026834889,0.827013397,-0.097195658,0.253812611,77,30,TRUE,FALSE
CNAG_06810,5.30E-05,8.58E-05,0,NESS,0.008074584,0.63199881,0.077119792,0.578487381,29,14,TRUE,FALSE
CNAG_06813,0,0,0,NESS,0.151839802,0.000200924,-0.119971705,0.202041398,44,29,TRUE,FALSE
CNAG_06815,0,0,0,NESS,0.04005588,0.261827554,-0.171342376,0.060386457,60,39,TRUE,FALSE
CNAG_06816,2.00E-06,1.41E-05,0,NESS,-0.063019453,0.479880742,-0.221286064,0.004013901,46,48,TRUE,FALSE
CNAG_06817,0,0,0,NESS,-0.012099415,0.853560011,-0.189168471,0.387541524,93,7,TRUE,FALSE
CNAG_06818,0,0,0,NESS,-0.048167825,0.470672627,-0.120503688,0.013593688,59,55,TRUE,FALSE
CNAG_06820,5.00E-06,2.61E-05,0,NESS,0.001647679,0.782167128,-0.08707155,0.684239445,16,6,TRUE,FALSE
CNAG_06822,2.10E-05,4.78E-05,0,NESS,-0.043345503,0.559306776,-0.202810751,0.232744377,98,4,TRUE,FALSE
CNAG_06823,0.001573,0.00129715,6.46E-258,NESS,-0.096722447,0.457626253,-0.168788203,0.406739752,10,7,TRUE,FALSE
CNAG_06827,0.000281,0.000240662,0,NESS,-0.017370012,0.995202641,-0.040323398,0.818432953,28,10,TRUE,FALSE
CNAG_06831,0,0,0,NESS,-0.027626398,0.959214346,-0.081499373,0.554298724,48,16,TRUE,FALSE
CNAG_06832,0,0,0,NESS,-0.008827195,0.509001165,-0.030577121,0.460178264,53,9,TRUE,FALSE
CNAG_06835,2.70E-05,5.29E-05,0,NESS,-0.066251391,0.198084941,-0.252658933,0.332193626,137,5,TRUE,FALSE
CNAG_06836,0.000495,0.000384649,2.8370221162107e-310,NESS,-0.030946483,0.988687589,0.166029635,0.04761949,37,19,TRUE,FALSE
CNAG_06837,9.60E-05,0.000123844,0,NESS,-0.05853979,0.70355388,0.128726032,0.010325348,27,45,TRUE,FALSE
CNAG_06846,0.006114,0.002187153,4.63E-235,NESS,0.210684756,0.001547311,0.166766527,0.00027158,28,56,TRUE,FALSE
CNAG_06852,0.003007,0.002543332,7.63E-229,NESS,0.10053483,0.625770503,0.19272889,0.008497628,6,18,TRUE,FALSE
CNAG_06853,1.00E-06,1.00E-05,0,NESS,0.054518907,0.354212419,0.043366341,0.67535016,19,14,TRUE,FALSE
CNAG_06854,1.30E-05,3.93E-05,0,NESS,-0.112539309,0.395573251,0.040409923,0.788046899,14,17,TRUE,FALSE
CNAG_06863,0.596444,0.077640356,6.48E-22,ESS,0.494898825,NA,0.011918789,0.840286908,1,2,TRUE,FALSE
CNAG_06866,0.001403,0.00146594,1.14E-252,NESS,-0.011290095,0.889981011,-0.031648508,0.990519771,12,35,TRUE,FALSE
CNAG_06867,1.00E-06,1.00E-05,0,NESS,-0.062079098,0.514173558,0.084212435,0.425236438,33,8,TRUE,FALSE
CNAG_06868,2.00E-06,1.41E-05,0,NESS,-0.007506149,0.728234502,-0.022869773,0.62615069,25,13,TRUE,FALSE
CNAG_06869,3.00E-06,1.71E-05,0,NESS,-0.019804641,0.993499687,-0.283252425,NA,15,1,TRUE,FALSE
CNAG_06871,0.006713,0.004792011,2.75E-201,NESS,-0.193415091,0.06008647,-0.209321658,0.563249904,17,5,TRUE,FALSE
CNAG_06874,0.028496,0.011322026,2.18E-162,NESS,-0.116694378,0.559049569,-0.013261784,0.998087855,6,17,TRUE,FALSE
CNAG_06875,0.042094,0.015199095,1.77E-148,NESS,-0.135121559,0.523636204,0.721509264,NA,3,1,TRUE,FALSE
CNAG_06876,0.033287,0.01260261,2.41E-157,NESS,-0.075959367,0.756036765,NA,NA,2,0,TRUE,FALSE
CNAG_06877,0.471379,0.081348157,0.000657533,UNK,NA,NA,NA,NA,0,0,TRUE,FALSE
CNAG_06879,9.30E-05,0.000112146,0,NESS,0.071847345,0.297474935,-0.003865782,0.831311274,24,36,TRUE,FALSE
CNAG_06884,9.00E-06,3.21E-05,0,NESS,-0.096235305,0.347971927,0.215364685,5.06E-05,21,34,TRUE,FALSE
CNAG_06887,0.580385,0.051574454,2.14E-28,ESS,0.385754356,NA,0.350289653,0.000777983,1,9,TRUE,FALSE
CNAG_06889,0.000231,0.000263885,0,NESS,-0.362609437,7.51E-05,-0.069078092,0.323273964,19,46,TRUE,FALSE
CNAG_06890,1.10E-05,3.45E-05,0,NESS,-0.006214739,0.486790259,-0.034985376,0.784862339,37,19,TRUE,FALSE
CNAG_06893,1.00E-06,1.00E-05,0,NESS,-0.100245522,0.173302447,0.055027373,0.120684304,26,35,TRUE,FALSE
CNAG_06894,1.70E-05,4.73E-05,0,NESS,-0.06866949,0.563667286,0.044364884,0.701645631,19,7,TRUE,FALSE
CNAG_06896,2.30E-05,4.68E-05,0,NESS,-0.039296703,0.704473847,-0.065621735,0.411372557,19,24,TRUE,FALSE
CNAG_06902,0.750974,0.053030372,8.53E-70,ESS,0.041920156,0.637966521,0.051985977,0.554977667,7,12,TRUE,FALSE
CNAG_06904,0,0,0,NESS,-0.098520961,0.166364488,-0.178121758,0.41558277,73,3,TRUE,FALSE
CNAG_06907,2.00E-06,1.41E-05,0,NESS,0.057012672,0.049118214,NA,NA,58,0,TRUE,FALSE
CNAG_06909,3.00E-06,1.71E-05,0,NESS,-0.013396414,0.877754893,-0.044997668,0.877819247,90,3,TRUE,FALSE
CNAG_06911,0,0,0,NESS,0.033408033,0.307552107,-0.097975594,0.623391033,33,10,TRUE,FALSE
CNAG_06915,0.007968,0.002590109,1.25E-227,NESS,-0.148630946,0.577806441,0.042073165,0.547306881,6,5,TRUE,FALSE
CNAG_06916,0.000227,0.000207853,0,NESS,-0.067931647,0.617723724,0.0964681,0.404177876,20,5,TRUE,FALSE
CNAG_06921,0,0,0,NESS,0.107387298,0.02254777,-0.208312243,0.219278559,32,4,TRUE,FALSE
CNAG_06924,4.00E-06,1.97E-05,0,NESS,-0.131302021,0.294871633,0.179606187,0.128726314,18,5,TRUE,FALSE
CNAG_06925,4.00E-06,1.97E-05,0,NESS,-0.059250351,0.981302921,0.022196624,0.664616095,24,33,TRUE,FALSE
CNAG_06926,1.00E-06,1.00E-05,0,NESS,0.02089298,0.95271481,0.15545323,0.382723765,33,5,TRUE,FALSE
CNAG_06929,0.003613,0.002108025,7.31E-237,NESS,0.209662042,0.007567487,0.19079887,0.017087745,19,10,TRUE,FALSE
CNAG_06931,3.50E-05,6.09E-05,0,NESS,0.013912865,0.627744706,-0.415899095,0.041227153,21,3,TRUE,FALSE
CNAG_06932,0,0,0,NESS,-0.09937969,0.182505137,-0.415899095,0.041227153,33,3,TRUE,FALSE
CNAG_06934,2.00E-06,1.41E-05,0,NESS,-0.032619381,0.848265582,-0.220008744,0.357516372,26,3,TRUE,FALSE
CNAG_06935,0.00426,0.002909997,6.05E-223,NESS,0.0498081,0.84829564,0.005846743,0.568974281,7,9,TRUE,FALSE
CNAG_06942,0,0,0,NESS,-0.063092136,0.41139268,0.002792989,0.716073059,51,23,TRUE,FALSE
CNAG_06947,0.000568,0.000490285,7.80E-300,NESS,-0.070091874,0.148848035,-0.085872008,0.506889607,33,23,TRUE,FALSE
CNAG_06949,0.001971,0.001627869,4.06E-248,NESS,0.142703624,0.000758895,-0.024610215,0.953557688,47,21,TRUE,FALSE
CNAG_06962,5.90E-05,0.000115553,0,NESS,-0.091305596,0.573378795,0.112111223,0.024625761,13,37,TRUE,FALSE
CNAG_07360,0.00018,0.000181464,0,NESS,-0.558459518,3.23E-05,0.012974916,0.441462912,11,55,TRUE,FALSE
CNAG_07361,4.60E-05,9.37E-05,0,NESS,-0.004451997,0.937861221,-0.03933532,0.839380228,58,49,TRUE,FALSE
CNAG_07362,0.000115,0.000130558,0,NESS,-0.262175102,0.030931767,0.339128763,0.010872705,14,35,TRUE,FALSE
CNAG_07364,0,0,0,NESS,0.039327047,0.130047515,0.059146808,0.144802204,52,15,TRUE,FALSE
CNAG_07365,0,0,0,NESS,-0.055667092,0.49836005,0.201745827,0.08148181,62,8,TRUE,FALSE
CNAG_07368,1.00E-06,1.00E-05,0,NESS,0.013136038,0.512908,-0.003945795,0.589796899,75,72,TRUE,FALSE
CNAG_07369,0.011139,0.010545092,5.37E-167,NESS,0.0072936,0.726871934,-0.130698351,0.431476303,39,6,TRUE,FALSE
CNAG_07370,2.40E-05,5.34E-05,0,NESS,-0.031475051,0.804425883,-0.11024151,0.370702313,25,12,TRUE,FALSE
CNAG_07375,0,0,0,NESS,-0.185116953,1.50E-05,0.036954419,0.658201795,92,36,TRUE,FALSE
CNAG_07376,0,0,0,NESS,-0.007918074,0.841442609,0.105276981,0.001266231,37,60,TRUE,FALSE
CNAG_07380,7.00E-05,9.37E-05,0,NESS,-0.174473412,0.087696876,0.014675335,0.781343832,13,3,TRUE,FALSE
CNAG_07386,0,0,0,NESS,-0.044600445,0.643084877,0.010529813,0.557757004,29,29,TRUE,FALSE
CNAG_07387,8.30E-05,0.000105462,0,NESS,-0.001406539,0.762315381,-0.032617537,0.915414144,55,4,TRUE,FALSE
CNAG_07388,0.001521,0.001077529,6.77E-266,NESS,-0.019789543,0.909530331,0.268341667,0.002476939,16,16,TRUE,FALSE
CNAG_07391,0.000524,0.000417574,9.70E-307,NESS,-0.072248725,0.602495326,-0.272400521,0.119254566,16,8,TRUE,FALSE
CNAG_07392,0.001309,0.001391395,6.35E-255,NESS,-0.068669928,0.975287536,0.039866069,0.385529567,12,28,TRUE,FALSE
CNAG_07396,0.426012,0.083901839,4.11E-14,NESS,NA,NA,0.185007386,0.242816423,0,3,TRUE,FALSE
CNAG_07399,0.000209,0.000303879,1.96934566432321e-320,NESS,0.038421471,0.601340043,-0.145963445,0.434360876,7,8,TRUE,FALSE
