sample,strain,name,dataset,run,source,lineage,vni_subdivision
SRS404803,MW-RSA1869,Cryptococcus_neoformans var. grubii_MW-RSA1869,Desjardins,SRR798269,Clinical,VNI,VNIb
SRS404805,Bt39,Cryptococcus_neoformans var. grubii_Bt39,Desjardins,,Clinical,VNBII,
SRS404807,Bt28,Cryptococcus_neoformans var. grubii_Bt28,Desjardins,SRR798275,Clinical,VNI,VNIa-32
SRS404809,Bt209,Cryptococcus_neoformans var. grubii_Bt209,Desjardins,SRR798708,Clinical,VNI,VNIc
SRS404810,Bt5,Cryptococcus_neoformans var. grubii_Bt5,Desjardins,,Clinical,VNBII,
SRS404812,Bt161,Cryptococcus_neoformans var. grubii_Bt161,Desjardins,SRR798282,Clinical,VNI,VNIc
SRS404813,LP-RSA848,Cryptococcus_neoformans var. grubii_LP-RSA848,Desjardins,SRR798283,Clinical,VNI,VNIc
SRS405098,Bt17,Cryptococcus_neoformans_Bt17,Desjardins,SRR798584,Clinical,VNI,VNIc
SRS405099,A3-38-20,Cryptococcus_neoformans var. grubii_36362,Desjardins,SRR798587,Environment,VNI,VNIb
SRS405101,T4,Cryptococcus_neoformans var. grubii_T4,Desjardins,,Environment,VNII,
SRS405102,MW-RSA5387,Cryptococcus_neoformans var. grubii_MW-RSA5387,Desjardins,SRR798703,Clinical,VNI,VNIa-X
SRS405107,Bt153,Cryptococcus_neoformans var. grubii_Bt153,Desjardins,SRR798633,Clinical,VNI,VNIc
SRS405109,Bt92,Cryptococcus_neoformans var. grubii_Bt92,Desjardins,SRR798819,Clinical,VNI,VNIa-5
SRS405110,C27,Cryptococcus_neoformans var. grubii_C27,Desjardins,SRR798960,Clinical,VNI,VNIa-32
SRS405111,Bt83,Cryptococcus_neoformans var. grubii_Bt83,Desjardins,SRR798700,Clinical,VNI,VNIc
SRS405113,Bt137,Cryptococcus_neoformans var. grubii_Bt137,Desjardins,SRR798659,Clinical,VNI,VNIc
SRS405114,Bt164,Cryptococcus_neoformans_Bt164,Desjardins,SRR798663,Clinical,VNI,VNIa-4
SRS405116,A4-1-12,Cryptococcus_neoformans var. grubii_33519,Desjardins,SRR798667,Environment,VNI,VNIb
SRS405118,Bt30,Cryptococcus_neoformans var. grubii_Bt30,Desjardins,SRR798668,Clinical,VNI,VNIc
SRS405119,Bt90,Cryptococcus_neoformans var. grubii_Bt90,Desjardins,SRR799041,Clinical,VNI,VNIc
SRS405120,Bt70,Cryptococcus_neoformans_Bt70,Desjardins,,Clinical,VNBI,
SRS405121,Bt47,Cryptococcus_neoformans_Bt47,Desjardins,SRR798707,Clinical,VNI,VNIc
SRS405122,Bt11,Cryptococcus_neoformans var. grubii_Bt11,Desjardins,SRR798717,Clinical,VNI,VNIc
SRS405123,Bt96,Cryptococcus_neoformans_Bt96,Desjardins,,Clinical,VNBI,
SRS405124,Bt77,Cryptococcus_neoformans var. grubii_Bt77,Desjardins,SRR798729,Clinical,VNI,VNIc
SRS405126,A4-34-6,Cryptococcus_neoformans var. grubii_31427,Desjardins,SRR798738,Environment,VNI,VNIa-32
SRS405127,Th206,Cryptococcus_neoformans var. grubii_Th206,Desjardins,SRR798739,Clinical,VNI,VNIa-4
SRS405128,Bt205,Cryptococcus_neoformans var. grubii_Bt205,Desjardins,SRR798742,Clinical,VNI,VNIc
SRS405129,Bt108,Cryptococcus_neoformans var. grubii_Bt108,Desjardins,SRR798743,Clinical,VNI,VNIc
SRS405130,Bt59,Cryptococcus_neoformans var. grubii_Bt59,Desjardins,SRR798752,Clinical,VNI,VNIc
SRS405132,Bt121,Cryptococcus_neoformans var. grubii_Bt121,Desjardins,SRR798768,Clinical,VNI,VNIc
SRS405134,Bt151,Cryptococcus_neoformans var. grubii_Bt151,Desjardins,SRR798775,Clinical,VNI,VNIc
SRS405133,Pr68,Cryptococcus_neoformans_Pr68,Desjardins,SRR798777,Environment,VNI,VNIb
SRS405135,Bt110,Cryptococcus_neoformans var. grubii_Bt110,Desjardins,SRR798780,Clinical,VNI,VNIc
SRS405136,Bt62,Cryptococcus_neoformans_Bt62,Desjardins,SRR798803,Clinical,VNI,VNIc
SRS405137,Bt97,Cryptococcus_neoformans_Bt97,Desjardins,SRR798807,Clinical,VNI,VNIc
SRS405139,Bt95,Cryptococcus_neoformans var. grubii_Bt95,Desjardins,SRR798833,Clinical,VNI,VNIc
SRS405141,Bt111,Cryptococcus_neoformans var. grubii_Bt111,Desjardins,SRR798837,Clinical,VNI,VNIb
SRS405142,Bt104,Cryptococcus_neoformans var. grubii_Bt104,Desjardins,SRR798839,Clinical,VNI,VNIc
SRS405144,Bt48,Cryptococcus_neoformans var. grubii_Bt48,Desjardins,SRR798853,Clinical,VNI,VNIa-X
SRS405145,Bt117,Cryptococcus_neoformans var. grubii_Bt117,Desjardins,SRR798882,Clinical,VNI,VNIc
SRS405146,Bt8,Cryptococcus_neoformans var. grubii_Bt8,Desjardins,SRR799026,Clinical,VNI,VNIc
SRS405147,Bt116,Cryptococcus_neoformans var. grubii_Bt116,Desjardins,SRR798922,Clinical,VNI,VNIc
SRS405148,Bt58,Cryptococcus_neoformans var. grubii_Bt58,Desjardins,SRR798957,Clinical,VNI,VNIa-X
SRS405149,LP-RSA1684,Cryptococcus_neoformans var. grubii_LP-RSA1684,Desjardins,,Clinical,VNII,
SRS405151,Bt57,Cryptococcus_neoformans var. grubii_Bt57,Desjardins,SRR799053,Clinical,VNI,VNIc
SRS417571,8-1,Cryptococcus_neoformans var. grubii_41487,Desjardins,,Clinical,VNII,
SRS417572,AD1-68a,Cryptococcus_neoformans var. grubii_AD1-68a,Desjardins,SRR836540,Clinical,VNI,VNIa-93
SRS417573,AD1-86a,Cryptococcus_neoformans var. grubii_AD1-86a,Desjardins,SRR836547,Clinical,VNI,VNIa-5
SRS417583,AD1-90a,Cryptococcus_neoformans var. grubii_AD1-90a,Desjardins,SRR836557,Clinical,VNI,VNIb
SRS417575,AD1-95a,Cryptococcus_neoformans var. grubii_AD1-95a,Desjardins,SRR836558,Clinical,VNI,VNIb
SRS417576,AD2-04a,Cryptococcus_neoformans var. grubii_AD2-04a,Desjardins,SRR836564,Clinical,VNI,VNIa-93
SRS417577,AD2-6a,Cryptococcus_neoformans var. grubii_AD2-6a,Desjardins,SRR836570,Clinical,VNI,VNIb
SRS417578,AD2-82a,Cryptococcus_neoformans var. grubii_AD2-82a,Desjardins,SRR836581,Clinical,VNI,VNIa-5
SRS417586,AD2-99a,Cryptococcus_neoformans var. grubii_AD2-99a,Desjardins,SRR836588,Clinical,VNI,VNIb
SRS417579,AD3-11a,Cryptococcus_neoformans var. grubii_AD3-11a,Desjardins,,Clinical,VNII,
SRS417581,AD3-41a,Cryptococcus_neoformans var. grubii_AD3-41a,Desjardins,SRR836599,Clinical,VNI,VNIb
SRS417582,AD3-55a,Cryptococcus_neoformans var. grubii_AD3-55a,Desjardins,SRR836604,Clinical,VNI,VNIb
SRS417585,AD3-58,Cryptococcus_neoformans var. grubii_AD3-58,Desjardins,SRR836610,Clinical,VNI,VNIb
SRS417587,AD3-83a,Cryptococcus_neoformans var. grubii_AD3-83a,Desjardins,SRR836615,Clinical,VNI,VNIb
SRS417588,AD3-95a,Cryptococcus_neoformans var. grubii_AD3-95a,Desjardins,SRR836620,Clinical,VNI,VNIa-4
SRS417597,AD3-9a,Cryptococcus_neoformans var. grubii_AD3-9a,Desjardins,,Clinical,VNII,
SRS417590,AD4-47a,Cryptococcus_neoformans var. grubii_AD4-47a,Desjardins,SRR836631,Clinical,VNI,VNIb
SRS417591,AD4-63a,Cryptococcus_neoformans var. grubii_AD4-63a,Desjardins,SRR836636,Clinical,VNI,VNIa-93
SRS417593,AD4-76a,Cryptococcus_neoformans var. grubii_AD4-76a,Desjardins,SRR836642,Clinical,VNI,VNIa-4
SRS417594,AD4-92a,Cryptococcus_neoformans var. grubii_AD4-92a,Desjardins,SRR836648,Clinical,VNI,VNIb
SRS417603,AD5-39a,Cryptococcus_neoformans var. grubii_AD5-39a,Desjardins,SRR836654,Clinical,VNI,VNIa-93
SRS417595,AD5-45a,Cryptococcus_neoformans var. grubii_AD5-45a,Desjardins,SRR836660,Clinical,VNI,VNIb
SRS417596,AD5-53a,Cryptococcus_neoformans var. grubii_AD5-53a,Desjardins,SRR836666,Clinical,VNI,VNIa-5
SRS417599,AD5-67a,Cryptococcus_neoformans var. grubii_AD5-67a,Desjardins,,Clinical,VNII,
SRS417600,AD6-54a,Cryptococcus_neoformans var. grubii_AD6-54a,Desjardins,SRR842038,Clinical,VNI,VNIb
SRS417601,AD6-55a,Cryptococcus_neoformans var. grubii_AD6-55a,Desjardins,SRR836683,Clinical,VNI,VNIb
SRS417604,Arg1366,Cryptococcus_neoformans var. grubii_Arg1366,Desjardins,SRR836689,Clinical,VNI,VNIb
SRS417605,Bt105,Cryptococcus_neoformans var. grubii_Bt105,Desjardins,,Clinical,VNBII,
SRS417606,Bt109,Cryptococcus_neoformans var. grubii_Bt109,Desjardins,,Clinical,VNBII,
SRS417607,Bt115,Cryptococcus_neoformans var. grubii_Bt115,Desjardins,,Clinical,VNBII,
SRS417609,Bt128,Cryptococcus_neoformans var. grubii_Bt128,Desjardins,,Clinical,VNBII,
SRS417611,Bt133,Cryptococcus_neoformans var. grubii_Bt133,Desjardins,,Clinical,VNBII,
SRS417612,Bt136,Cryptococcus_neoformans var. grubii_Bt136,Desjardins,,Clinical,VNBII,
SRS417614,Bt138,Cryptococcus_neoformans var. grubii_Bt138,Desjardins,SRR836772,Clinical,VNI,VNIa-Y
SRS417615,Bt143,Cryptococcus_neoformans var. grubii_Bt143,Desjardins,,Clinical,VNBII,
SRS417616,Bt146,Cryptococcus_neoformans var. grubii_Bt146,Desjardins,,Clinical,VNBII,
SRS417618,Bt147,Cryptococcus_neoformans var. grubii_Bt147,Desjardins,,Clinical,VNBI,
SRS417619,Bt148,Cryptococcus_neoformans var. grubii_Bt148,Desjardins,,Clinical,VNBI,
SRS417620,Bt149,Cryptococcus_neoformans var. grubii_Bt149,Desjardins,,Clinical,VNBII,
SRS417622,Bt152,Cryptococcus_neoformans var. grubii_Bt152,Desjardins,,Clinical,VNBII,
SRS417624,Bt154,Cryptococcus_neoformans var. grubii_Bt154,Desjardins,,Clinical,VNBI,
SRS417625,Bt157,Cryptococcus_neoformans var. grubii_Bt157,Desjardins,,Clinical,VNBII,
SRS417635,Bt204,Cryptococcus_neoformans var. grubii_Bt204,Desjardins,,Clinical,VNBI,
SRS417636,Bt208,Cryptococcus_neoformans var. grubii_Bt208,Desjardins,,Clinical,VNBII,
SRS417637,Bt4,Cryptococcus_neoformans var. grubii_Bt4,Desjardins,SRR836871,Clinical,VNI,VNIc
SRS417639,Bt65,Cryptococcus_neoformans var. grubii_Bt65,Desjardins,,Clinical,VNBII,
SRS417641,C12,Cryptococcus_neoformans var. grubii_C12,Desjardins,,Clinical,VNII,
SRS417642,In2632,Cryptococcus_neoformans var. grubii_In2632,Desjardins,SRR836892,Clinical,VNI,VNIa-32
SRS417643,Jp1088,Cryptococcus_neoformans var. grubii_Jp1088,Desjardins,SRR836898,Clinical,VNI,VNIa-5
SRS417644,LP-RSA3144,Cryptococcus_neoformans var. grubii_LP-RSA3144,Desjardins,,Clinical,VNBII,
SRS417647,LP-RSA6618,Cryptococcus_neoformans var. grubii_LP-RSA6618,Desjardins,,Clinical,VNBI,
SRS417658,LP-RSA756,Cryptococcus_neoformans var. grubii_LP-RSA756,Desjardins,,Clinical,VNBI,
SRS417650,MW-RSA1186,Cryptococcus_neoformans var. grubii_MW-RSA1186,Desjardins,,Clinical,VNBII,
SRS417651,MW-RSA1607,Cryptococcus_neoformans var. grubii_MW-RSA1607,Desjardins,,Clinical,VNBII,
SRS417652,MW-RSA2967,Cryptococcus_neoformans var. grubii_MW-RSA2967,Desjardins,,Clinical,VNBII,
SRS417653,MW-RSA3179,Cryptococcus_neoformans var. grubii_MW-RSA3179,Desjardins,,Clinical,VNBII,
SRS417654,MW-RSA3321,Cryptococcus_neoformans var. grubii_MW-RSA3321,Desjardins,,Clinical,VNBII,
SRS417655,PLR10,Cryptococcus_neoformans var. grubii_PLR10,Desjardins,,Environment,VNBI,
SRS417656,Pr284-1,Cryptococcus_neoformans var. grubii_Pr284-1,Desjardins,SRR836964,Environment,VNI,VNIb
SRS417657,RTC1,Cryptococcus_neoformans var. grubii_RTC1,Desjardins,SRR836978,Clinical,VNI,VNIa-93
SRS417659,RTC3,Cryptococcus_neoformans var. grubii_RTC3,Desjardins,,Clinical,VNBI,
SRS417661,Tu229-1,Cryptococcus_neoformans var. grubii_Tu229-1,Desjardins,,Environment,VNBI,
SRS417662,RTC5,Cryptococcus_neoformans var. grubii_RTC5,Desjardins,SRR836988,Clinical,VNI,VNIc
SRS417665,Tu360-1,Cryptococcus_neoformans var. grubii_Tu360-1,Desjardins,,Environment,VNBI,
SRS417667,Tu369-1,Cryptococcus_neoformans var. grubii_Tu369-1,Desjardins,,Environment,VNBI,
SRS417668,Tu406-1,Cryptococcus_neoformans var. grubii_Tu406-1,Desjardins,,Environment,VNBI,
SRS417669,Tu416-1,Cryptococcus_neoformans var. grubii_Tu416-1,Desjardins,,Environment,VNBI,
SRS417675,Tu422-1,Cryptococcus_neoformans var. grubii_Tu422-1,Desjardins,,Environment,VNBI,
SRS417676,Ug2459,Cryptococcus_neoformans var. grubii_Ug2459,Desjardins,SRR837084,Clinical,VNI,VNIb
SRS417678,Ug2462,Cryptococcus_neoformans var. grubii_Ug2462,Desjardins,,Clinical,VNII,
SRS417680,Ug2463,Cryptococcus_neoformans var. grubii_Ug2463,Desjardins,SRR837099,Clinical,VNI,VNIa-4
SRS429660,Bt210,Cryptococcus_neoformans var. grubii_Bt210,Desjardins,SRR868750,Clinical,VNI,VNIc
SRS502193,Bt142,Cryptococcus_neoformans var. grubii_Bt142,Desjardins,,Clinical,VNBI,
SRS520130,Bt35,Cryptococcus neoformans Bt35,Desjardins,,Clinical,VNBII,
SRS520173,A1-84-14,Cryptococcus neoformans var. grubii A1-84-14,Desjardins,SRR1063253,Environment,VNI,VNIb
SRS520174,LP-RSA2297,Cryptococcus neoformans var. grubii LP-RSA2297,Desjardins,SRR1063256,Clinical,VNI,VNIa-4
SRS520177,MW-RSA1327,Cryptococcus neoformans var. grubii MW-RSA1327,Desjardins,,Clinical,VNII,
SRS520178,MW-RSA3834,Cryptococcus neoformans var. grubii MW-RSA3834,Desjardins,SRR1063265,Clinical,VNI,VNIc
SRS520179,MW-RSA3956,Cryptococcus neoformans var. grubii MW-RSA3956,Desjardins,,Clinical,VNII,
SRS520180,MW-RSA524,Cryptococcus neoformans var. grubii MW-RSA524,Desjardins,SRR1063269,Clinical,VNI,VNIc
SRS520181,MW-RSA913,Cryptococcus neoformans var. grubii MW-RSA913,Desjardins,,Clinical,VNBII,
SRS520182,WM626,Cryptococcus neoformans var. grubii WM626 (MMRL 3150),Desjardins,,Clinical,VNII,
SRS520184,TCl-11,Cryptococcus sp. TCl-11,Desjardins,SRR1063286,Clinical,VNI,VNIb
SRS520185,TCl-14,Cryptococcus sp. TCl-14,Desjardins,SRR1063288,Clinical,VNI,VNIb
ERS2541303,04CN-03-001,04CN-03-001,Ashton,ERR2624232,Clinical,VNI,VNIa-5
ERS2541302,04CN-03-002,04CN-03-002,Ashton,ERR2624486,Clinical,VNI,VNIa-4
ERS2541293,04CN-03-003,04CN-03-003,Ashton,ERR2624426,Clinical,VNI,VNIa-4
ERS2541301,04CN-03-004,04CN-03-004,Ashton,ERR2624478,Clinical,VNI,VNIa-4
ERS2541292,04CN-03-006,04CN-03-006,Ashton,ERR2624325,Clinical,VNI,VNIa-4
ERS2540976,04CN-03-008,04CN-03-008,Ashton,ERR2624146,Clinical,VNI,VNIa-4
ERS2541326,04CN-03-009,04CN-03-009,Ashton,ERR2624169,Clinical,VNI,VNIa-5
ERS2541116,04CN-03-011,04CN-03-011,Ashton,ERR2624104,Clinical,VNI,VNIa-4
ERS2541111,04CN-03-012,04CN-03-012,Ashton,ERR2624108,Clinical,VNI,VNIa-5
ERS2541099,04CN-03-013,04CN-03-013,Ashton,ERR2624313,Clinical,VNI,VNIa-4
ERS2541088,04CN-03-014,04CN-03-014,Ashton,ERR2624121,Clinical,VNI,VNIa-5
ERS2541157,04CN-03-015,04CN-03-015,Ashton,ERR2624355,Clinical,VNI,VNIa-4
ERS2541249,04CN-03-016,04CN-03-016,Ashton,ERR2624105,Clinical,VNI,VNIa-5
ERS2541283,04CN-03-017,04CN-03-017,Ashton,ERR2624408,Clinical,VNI,VNIa-4
ERS2541164,04CN-03-020,04CN-03-020,Ashton,ERR2624327,Clinical,VNI,VNIa-5
ERS2541154,04CN-03-021,04CN-03-021,Ashton,ERR2624502,Clinical,VNI,VNIa-5
ERS2541334,04CN-03-022,04CN-03-022,Ashton,ERR2624124,Clinical,VNI,VNIa-5
ERS2541115,04CN-03-024,04CN-03-024,Ashton,ERR2624401,Clinical,VNI,VNIa-5
ERS2541171,04CN-03-028,04CN-03-028,Ashton,ERR2624298,Clinical,VNI,VNIa-4
ERS2541256,04CN-03-031,04CN-03-031,Ashton,ERR2624093,Clinical,VNI,
ERS2541098,04CN-03-032,04CN-03-032,Ashton,ERR2624348,Clinical,VNI,VNIa-4
ERS2541270,04CN-03-036,04CN-03-036,Ashton,ERR2624474,Clinical,VNI,VNIa-93
ERS2541244,04CN-03-037,04CN-03-037,Ashton,ERR2624424,Clinical,VNI,VNIa-4
ERS2541136,04CN-03-038,04CN-03-038,Ashton,ERR2624120,Clinical,VNI,VNIa-93
ERS2541212,04CN-03-039,04CN-03-039,Ashton,ERR2624354,Clinical,VNI,VNIa-5
ERS2541275,04CN-03-040,04CN-03-040,Ashton,ERR2624443,Clinical,VNI,VNIa-4
ERS2541226,04CN-03-042,04CN-03-042,Ashton,ERR2624365,Clinical,VNI,VNIa-32
ERS2541216,04CN-03-046,04CN-03-046,Ashton,ERR2624453,Clinical,VNI,VNIa-4
ERS2541331,04CN-03-047,04CN-03-047,Ashton,ERR2624393,Clinical,VNI,VNIa-5
ERS2541184,04CN-03-049,04CN-03-049,Ashton,ERR2624258,Clinical,VNI,VNIa-93
ERS2541121,04CN-03-050,04CN-03-050,Ashton,ERR2624188,Clinical,VNI,VNIa-93
ERS2541178,04CN-03-051,04CN-03-051,Ashton,ERR2624138,Clinical,VNI,VNIa-5
ERS2541267,04CN-03-052,04CN-03-052,Ashton,ERR2624273,Clinical,VNI,VNIa-4
ERS2541138,04CN-03-053,04CN-03-053,Ashton,ERR2624176,Clinical,VNI,VNIa-5
ERS2541117,04CN-03-056,04CN-03-056,Ashton,ERR2624119,Clinical,VNI,VNIa-4
ERS2541150,04CN-03-058,04CN-03-058,Ashton,ERR2624388,Clinical,VNI,VNIa-5
ERS2541259,04CN-03-059,04CN-03-059,Ashton,ERR2624445,Clinical,VNI,VNIa-4
ERS2541148,04CN-03-061,04CN-03-061,Ashton,ERR2624187,Clinical,VNI,VNIa-4
ERS2541196,04CN-03-062,04CN-03-062,Ashton,ERR2624411,Clinical,VNI,VNIa-93
ERS2541234,04CN-03-063,04CN-03-063,Ashton,ERR2624489,Clinical,VNI,VNIa-5
ERS2541225,04CN-03-064,04CN-03-064,Ashton,ERR2624283,Clinical,VNI,VNIa-4
ERS2541204,04CN-03-067,04CN-03-067,Ashton,ERR2624488,Clinical,VNI,VNIa-4
ERS2541094,04CN-03-068,04CN-03-068,Ashton,ERR2624333,Clinical,VNI,VNIa-4
ERS2541229,04CN-03-069,04CN-03-069,Ashton,ERR2624125,Clinical,VNI,VNIa-5
ERS2541147,04CN-03-072,04CN-03-072,Ashton,ERR2624091,Clinical,VNI,VNIa-93
ERS2541211,04CN-03-073,04CN-03-073,Ashton,ERR2624155,Clinical,VNI,VNIa-5
ERS2541170,04CN-03-074,04CN-03-074,Ashton,ERR2624467,Clinical,VNI,VNII
ERS2541288,04CN-03-075,04CN-03-075,Ashton,ERR2624459,Clinical,VNI,VNIa-4
ERS2541194,04CN-03-076,04CN-03-076,Ashton,ERR2624199,Clinical,VNI,VNIa-5
ERS2541181,04CN-03-077,04CN-03-077,Ashton,ERR2624464,Clinical,VNI,VNIa-5
ERS2541266,04CN-03-078,04CN-03-078,Ashton,ERR2624305,Clinical,VNI,VNIa-4
ERS2541251,04CN-03-081,04CN-03-081,Ashton,ERR2624110,Clinical,VNI,VNIa-5
ERS2541146,04CN-03-082,04CN-03-082,Ashton,ERR2624412,Clinical,VNI,VNIa-4
ERS2541180,04CN-03-084,04CN-03-084,Ashton,ERR2624241,Clinical,VNI,VNIa-4
ERS2541190,04CN-03-085,04CN-03-085,Ashton,ERR2624248,Clinical,VNI,VNIa-4
ERS2541120,04CN-03-086,04CN-03-086,Ashton,ERR2624460,Clinical,VNI,VNIa-4
ERS2541093,04CN-03-087,04CN-03-087,Ashton,ERR2624435,Clinical,VNI,VNIa-4
ERS2541130,04CN-03-088,04CN-03-088,Ashton,ERR2624180,Clinical,VNI,VNII
ERS2541142,04CN-03-089,04CN-03-089,Ashton,ERR2624234,Clinical,VNI,VNIa-5
ERS2541205,04CN-03-090,04CN-03-090,Ashton,ERR2624389,Clinical,VNI,VNIa-5
ERS2541085,04CN-03-091,04CN-03-091,Ashton,ERR2624378,Clinical,VNI,VNIa-5
ERS2541250,04CN-03-092,04CN-03-092,Ashton,ERR2624143,Clinical,VNI,VNIa-4
ERS2541248,04CN-03-093,04CN-03-093,Ashton,ERR2624129,Clinical,VNI,VNIa-4
ERS2541271,04CN-03-094,04CN-03-094,Ashton,ERR2624303,Clinical,VNI,VNIa-5
ERS2541104,04CN-03-095,04CN-03-095,Ashton,ERR2624179,Clinical,VNI,VNIa-4
ERS2541177,04CN-03-098,04CN-03-098,Ashton,ERR2624160,Clinical,VNI,VNIa-4
ERS2541232,04CN-03-099,04CN-03-099,Ashton,ERR2624332,Clinical,VNI,VNIa-5
ERS2541160,04CN-03-100,04CN-03-100,Ashton,ERR2624094,Clinical,VNI,VNIa-4
ERS2541113,04CN-03-101,04CN-03-101,Ashton,ERR2624117,Clinical,VNI,VNIa-93
ERS2541084,04CN-03-102,04CN-03-102,Ashton,ERR2624128,Clinical,VNI,VNIa-5
ERS2541289,04CN-11-001,04CN-11-001,Ashton,ERR2624366,Clinical,VNI,VNIa-4
ERS2541268,04CN-11-003,04CN-11-003,Ashton,ERR2624431,Clinical,VNI,VNIa-4
ERS2541236,04CN-11-004,04CN-11-004,Ashton,ERR2624197,Clinical,VNI,VNIa-5
ERS2541108,04CN-11-005,04CN-11-005,Ashton,ERR2624475,Clinical,VNI,VNIa-4
ERS2541213,04CN-11-006,04CN-11-006,Ashton,ERR2624420,Clinical,VNI,VNIa-4
ERS2541163,04CN-11-007,04CN-11-007,Ashton,ERR2624255,Clinical,VNI,VNIa-4
ERS2541186,04CN-11-008,04CN-11-008,Ashton,ERR2624330,Clinical,VNI,VNIa-4
ERS2541238,04CN-11-009,04CN-11-009,Ashton,ERR2624363,Clinical,VNI,VNIa-5
ERS2541219,04CN-11-010,04CN-11-010,Ashton,ERR2624376,Clinical,VNI,VNIa-4
ERS2541286,04CN-11-011,04CN-11-011,Ashton,ERR2624153,Clinical,VNI,VNIa-4
ERS2541141,04CN-11-012,04CN-11-012,Ashton,ERR2624206,Clinical,VNI,VNIa-4
ERS2541140,04CN-11-013,04CN-11-013,Ashton,ERR2624149,Clinical,VNI,VNIa-93
ERS2541135,04CN-11-014,04CN-11-014,Ashton,ERR2624392,Clinical,VNI,VNIa-4
ERS2541166,04CN-11-015,04CN-11-015,Ashton,ERR2624101,Clinical,VNI,VNIa-4
ERS2541241,04CN-11-018,04CN-11-018,Ashton,ERR2624144,Clinical,VNI,VNIa-4
ERS2541221,04CN-11-019,04CN-11-019,Ashton,ERR2624375,Clinical,VNI,VNIa-4
ERS2541124,04CN-11-020,04CN-11-020,Ashton,ERR2624290,Clinical,VNI,VNIa-5
ERS2541083,04CN-11-021,04CN-11-021,Ashton,ERR2624338,Clinical,VNI,VNIa-5
ERS2541215,04CN-11-022,04CN-11-022,Ashton,ERR2624312,Clinical,VNI,VNIa-5
ERS2541280,04CN-20-004,04CN-20-004,Ashton,ERR2624461,Clinical,VNI,VNIa-4
ERS2541182,04CN-20-006,04CN-20-006,Ashton,ERR2624322,Clinical,VNI,VNIa-5
ERS2541222,04CN-30-001,04CN-30-001,Ashton,ERR2624116,Clinical,VNI,VNIa-4
ERS2541332,04CN-30-002,04CN-30-002,Ashton,ERR2624175,Clinical,VNI,VNIa-4
ERS2541107,04CN-30-008,04CN-30-008,Ashton,ERR2624496,Clinical,VNI,VNIa-4
ERS2541167,04CN-30-016,04CN-30-016,Ashton,ERR2624134,Clinical,VNI,VNIa-5
ERS2541172,04CN-30-019,04CN-30-019,Ashton,ERR2624398,Clinical,VNI,VNIa-5
ERS2541060,04CN-32-001,04CN-32-001,Ashton,ERR2624168,Clinical,VNI,VNIa-4
ERS2541016,04CN-32-004,04CN-32-004,Ashton,ERR2624346,Clinical,VNI,VNIa-4
ERS2541307,04CN-32-005,04CN-32-005,Ashton,ERR2624201,Clinical,VNI,VNIa-4
ERS2541312,04CN-32-011,04CN-32-011,Ashton,ERR2624178,Clinical,VNI,VNIa-4
ERS2540948,04CN-32-019,04CN-32-019,Ashton,ERR2624439,Clinical,VNI,VNIa-4
ERS2540967,04CN-32-020,04CN-32-020,Ashton,ERR2624479,Clinical,VNI,VNIa-4
ERS2541314,04CN-32-025,04CN-32-025,Ashton,ERR2624359,Clinical,VNI,VNIa-4
ERS2540937,04CN-32-031,04CN-32-031,Ashton,ERR2624449,Clinical,VNI,VNIa-4
ERS2540954,04CN-32-040,04CN-32-040,Ashton,ERR2624326,Clinical,VNI,VNIa-4
ERS2541319,04CN-32-042,04CN-32-042,Ashton,ERR2624470,Clinical,VNI,VNIa-5
ERS2541300,04CN-32-043,04CN-32-043,Ashton,ERR2624410,Clinical,VNI,VNIa-4
ERS2541272,04CN-32-044B,04CN-32-044B,Ashton,ERR2624269,Clinical,VNI,VNIa-4
ERS2541290,04CN-32-053,04CN-32-053,Ashton,ERR2624271,Clinical,VNI,VNIa-5
ERS2541294,04CN-32-059,04CN-32-059,Ashton,ERR2624441,Clinical,VNI,VNIa-4
ERS2541299,04CN-32-067,04CN-32-067,Ashton,ERR2624239,Clinical,VNI,VNIa-4
ERS2541298,04CN-32-071,04CN-32-071,Ashton,ERR2624291,Clinical,VNI,VNIa-4
ERS2541297,04CN-32-074,04CN-32-074,Ashton,ERR2624195,Clinical,VNI,VNIa-4
ERS2541291,04CN-32-083,04CN-32-083,Ashton,ERR2624276,Clinical,VNI,VNIa-4
ERS2541295,04CN-32-084,04CN-32-084,Ashton,ERR2624427,Clinical,VNI,VNIa-4
ERS2541296,04CN-32-086,04CN-32-086,Ashton,ERR2624430,Clinical,VNI,VNIa-4
ERS2541027,04CN-32-089,04CN-32-089,Ashton,ERR2624165,Clinical,VNI,VNIa-4
ERS2541074,04CN-32-090,04CN-32-090,Ashton,ERR2624162,Clinical,VNI,VNIa-4
ERS2540930,04CN-32-093,04CN-32-093,Ashton,ERR2624250,Clinical,VNI,VNIa-4
ERS2541026,04CN-32-105,04CN-32-105,Ashton,ERR2624132,Clinical,VNI,VNIa-4
ERS2541015,04CN-32-106,04CN-32-106,Ashton,ERR2624422,Clinical,VNI,VNIa-4
ERS2540946,04CN-33-002,04CN-33-002,Ashton,ERR2624437,Clinical,VNI,VNIa-4
ERS2541048,04CN-33-004,04CN-33-004,Ashton,ERR2624164,Clinical,VNI,VNIa-4
ERS2541010,04CN-33-015,04CN-33-015,Ashton,ERR2624320,Clinical,VNI,VNIa-4
