sample,strain,name,dataset,run,source,lineage,vni_subdivision
SRS881151,NRHc5029.ENR.CLIN.ISO,NRHc5029.ENR.CLIN.ISO,Desjardins,,Clinical,VNBI,
SRS885874,Gbc39-2,Gbc39-2,Desjardins,SRR1942967,Environment,VNI,VNIc
SRS881225,NRHc5031.ENR.CLIN.ISO,NRHc5031.ENR.CLIN.ISO,Desjardins,,Clinical,VNBII,
SRS881240,NRHc5021.ENR,NRHc5021.ENR,Desjardins,,Clinical,VNBI,
SRS881215,Ftc207-1,Ftc207-1,Desjardins,,Environment,VNBI,
SRS881199,Ftc102-1,Ftc102-1,Desjardins,,Environment,VNBI,
SRS881194,Muc457-1,Muc457-1,Desjardins,,Environment,VNBI,
SRS881241,PMHc1022.ENR,PMHc1022.ENR,Desjardins,SRR1926056,Clinical,VNI,VNIc
SRS881159,PMHc1033.ENR,PMHc1033.ENR,Desjardins,,Clinical,VNBII,
SRS885191,Muc460-3,Muc460-3,Desjardins,,Environment,VNBI,
SRS881221,Ftc555-2,Ftc555-2,Desjardins,,Environment,VNBI,
SRS881212,PMHc1023.ENR,PMHc1023.ENR,Desjardins,,Clinical,VNII,
SRS885841,NRHc5009.REL.INI,NRHc5009.REL.INI,Desjardins,,Clinical,VNBI,
SRS881147,Ftc209-1,Ftc209-1,Desjardins,,Environment,VNBI,
SRS881220,Gbc51-2,Gbc51-2,Desjardins,SRR1926013,Environment,VNI,VNIc
SRS881218,Ftc195-1,Ftc195-1,Desjardins,,Environment,VNBI,
SRS881224,Ftc236-1,Ftc236-1,Desjardins,,Environment,VNBI,
SRS885894,Muc498-2,Muc498-2,Desjardins,,Environment,VNBI,
SRS885816,Ftc225-1,Ftc225-1,Desjardins,,Environment,VNBI,
SRS881211,PMHc1050.ENR.CLIN1,PMHc1050.ENR.CLIN1,Desjardins,,Clinical,VNBI,
SRS881198,Ftc153-1,Ftc153-1,Desjardins,,Environment,VNBI,
SRS885879,NRHc5015.REL.CLIN.ISO,NRHc5015.REL.CLIN.ISO,Desjardins,SRR1942971,Clinical,VNI,VNIc
SRS881157,NRHc5035.ENR.CLIN.ISO,NRHc5035.ENR.CLIN.ISO,Desjardins,,Clinical,VNBI,
SRS885857,Ftc192-1,Ftc192-1,Desjardins,,Environment,VNBI,
SRS881193,Muc489-1,Muc489-1,Desjardins,,Environment,VNBI,
SRS881233,Muc402-1,Muc402-1,Desjardins,,Environment,VNBI,
SRS881142,NRHc5017.ENR,NRHc5017.ENR,Desjardins,SRR1925881,Clinical,VNI,VNIc
SRS885167,Ftc321-3,Ftc321-3,Desjardins,,Environment,VNBI,
SRS881201,NRHc5027.ENR.CLIN1,NRHc5027.ENR.CLIN1,Desjardins,,Clinical,VNBI,
SRS885865,Ftc158-2,Ftc158-2,Desjardins,,Environment,VNBI,
SRS885878,Ftc168-1,Ftc168-1,Desjardins,,Environment,VNBI,
SRS881223,Ftc267-2,Ftc267-2,Desjardins,,Environment,VNBI,
SRS885169,Gbc573-1,Gbc573-1,Desjardins,,Environment,VNBI,
SRS885877,NRHc5023.ENR,NRHc5023.ENR,Desjardins,,Clinical,VNBI,
SRS885882,Muc449-1,Muc449-1,Desjardins,,Environment,VNBI,
SRS881150,Ftc132-1,Ftc132-1,Desjardins,,Environment,VNBI,
SRS885176,NRHc5037.ENR.CLIN1,NRHc5037.ENR.CLIN1,Desjardins,,Clinical,VNBI,
SRS881239,NRHc5048.ENR.ISO,NRHc5048.ENR.ISO,Desjardins,SRR1926048,Clinical,VNI,VNIc
SRS885847,PMHc1047.ENR.CLIN1,PMHc1047.ENR.CLIN1,Desjardins,,Clinical,VNBII,
SRS881173,Muc463-2,Muc463-2,Desjardins,,Environment,VNBI,
SRS885871,Muc367-1,Muc367-1,Desjardins,,Environment,VNBI,
SRS881242,PMHc1014.ENR,PMHc1014.ENR,Desjardins,,Clinical,VNBI,
SRS885174,NRHc5010.ENR,NRHc5010.ENR,Desjardins,SRR1931699,Clinical,VNI,VNIa-outlier
SRS881244,NRHc5015.ENR,NRHc5015.ENR,Desjardins,SRR1926055,Clinical,VNI,VNIc
SRS881175,Ftc103-1,Ftc103-1,Desjardins,,Environment,VNBI,
SRS881152,PMHc1034.ENR.STOR,PMHc1034.ENR.STOR,Desjardins,SRR1925890,Clinical,VNI,VNIc
SRS881171,Ftc173-1,Ftc173-1,Desjardins,,Environment,VNBI,
SRS881208,PMHc1018.ENR,PMHc1018.ENR,Desjardins,SRR1926080,Clinical,VNI,VNIa-32
SRS881180,PMHc1029.ENR.STOR,PMHc1029.ENR.STOR,Desjardins,,Clinical,VNBII,
SRS881176,PMHc1035.ENR.STOR,PMHc1035.ENR.STOR,Desjardins,,Clinical,VNBII,
SRS885851,NRHc5009.ENR,NRHc5009.ENR,Desjardins,,Clinical,VNBI,
SRS885852,NRHc5024A.ENR.CLIN.ISO,NRHc5024A.ENR.CLIN.ISO,Desjardins,,Clinical,VNBI,
SRS881169,PMHc1043.ENR.STOR,PMHc1043.ENR.STOR,Desjardins,SRR1925912,Clinical,VNI,VNIc
SRS885177,NRHc5019.ENR,NRHc5019.ENR,Desjardins,,Clinical,VNBI,
SRS885186,NRHc5020.ENR,NRHc5020.ENR,Desjardins,,Clinical,VNBI,
SRS885887,Muc525-1,Muc525-1,Desjardins,,Environment,VNBI,
SRS881247,Ftc257-1,Ftc257-1,Desjardins,,Environment,VNBI,
SRS885888,NRHc5040.ENR.CLIN.ISO,NRHc5040.ENR.CLIN.ISO,Desjardins,,Clinical,VNBI,
SRS881165,Muc466-1,Muc466-1,Desjardins,,Environment,VNBI,
SRS881181,Muc458-2,Muc458-2,Desjardins,,Environment,VNBI,
SRS885850,Muc516-1,Muc516-1,Desjardins,,Environment,VNBI,
SRS881203,Muc466-3,Muc466-3,Desjardins,,Environment,VNBI,
SRS885172,NRHc5028.ENR.STOR,NRHc5028.ENR.STOR,Desjardins,SRR1931698,Clinical,VNI,VNIa-outlier
SRS881164,PMHc1038.ENR.CLIN1,PMHc1038.ENR.CLIN1,Desjardins,,Clinical,VNBI,
SRS881155,Ftc267-1,Ftc267-1,Desjardins,,Environment,VNBI,
SRS885842,Ftc217-1,Ftc217-1,Desjardins,,Environment,VNBI,
SRS885833,Muc387-1,Muc387-1,Desjardins,,Environment,VNBII,
SRS881197,Gbc44-1,Gbc44-1,Desjardins,SRR1925938,Environment,VNI,VNIc
SRS881179,PMHc1030.ENR.CLIN.ISO,PMHc1030.ENR.CLIN.ISO,Desjardins,,Clinical,VNBI,
SRS881158,PMHc1011.ENR,PMHc1011.ENR,Desjardins,,Clinical,VNBI,
SRS885858,Ftc214-1,Ftc214-1,Desjardins,,Environment,VNBI,
SRS409479,125.91,Cryptococcus_neoformans_125.91,Desjardins,SRR642853,Clinical,VNI,VNIa-outlier
SRS409112,Bt63,Cryptococcus_neoformans_Bt63,Desjardins,,Clinical,VNBI,
SRS409066,Bt85,Cryptococcus_neoformans_Bt85,Desjardins,,Clinical,VNBI,
SRS409058,AD2-60a,Cryptococcus neoformans var. grubii AD2-60a,Desjardins,SRR642849,Clinical,VNI,VNIb
SRS409061,Ze90-1,Cryptococcus neoformans var. grubii Ze90-1,Desjardins,,Environment,VNBII,
SRS409060,A2-102-5,Cryptococcus neoformans var. grubii A2-102-5,Desjardins,SRR642223,Environment,VNI,VNIa-outlier
SRS409059,C8,Cryptococcus_neoformans_C8,Desjardins,SRR642860,Clinical,VNI,VNIa-5
SRS409482,C23,Cryptococcus_neoformans_C23,Desjardins,SRR642845,Clinical,VNI,VNIb
SRS409074,Th84,Cryptococcus_neoformans_Th84,Desjardins,SRR642861,Clinical,VNI,VNIa-4
SRS409075,Bt206,Cryptococcus_neoformans_Bt206,Desjardins,,Clinical,VNBII,
SRS409065,Bt1,Cryptococcus_neoformans_Bt1,Desjardins,,Clinical,VNBII,
SRS409062,Bt15,Cryptococcus_neoformans_Bt15,Desjardins,SRR642852,Clinical,VNI,VNIc
SRS409076,Tu259-1,Cryptococcus neoformans var. grubii Tu259-1,Desjardins,SRR642856,Environment,VNI,VNIa-outlier
SRS409781,D17-1,Cryptococcus neoformans var. grubii D17-1,Desjardins,SRR642847,Environment,VNI,VNIa-outlier
SRS409175,CHC193,Cryptococcus_neoformans_CHC193,Desjardins,SRR642854,Clinical,VNI,VNIa-5
SRS409176,C45,Cryptococcus_neoformans_C45,Desjardins,,Clinical,VNII,
SRS409478,AD1-7a,Cryptococcus neoformans var. grubii AD1-7a,Desjardins,SRR642855,Clinical,VNI,VNIb
SRS403287,Gb118,Cryptococcus_neoformans_Gb118,Desjardins,SRR642858,Environment,VNI,VNIa-X
SRS409113,Br795,Cryptococcus_neoformans_Br795,Desjardins,SRR642863,Clinical,VNI,VNIa-93
SRS409063,AD1-83a,Cryptococcus neoformans var. grubii AD1-83a,Desjardins,SRR642859,Clinical,VNI,VNIa-5
SRS409483,Tu401-1,Cryptococcus neoformans var. grubii Tu401-1,Desjardins,,Environment,VNBI,
SRS523961,Bt120,Cryptococcus neoformans var. grubii Bt120,Desjardins,SRR642846,Clinical,VNI,VNIc
SRS409064,MW-RSA1955,Cryptococcus neoformans var. grubii MW-RSA1955,Desjardins,SRR642220,Clinical,VNI,VNIa-5
SRS409177,MW-RSA36,Cryptococcus neoformans var. grubii MW-RSA36,Desjardins,SRR642862,Clinical,VNI,VNIa-X
