sample,run,file1,file2,file_unpaired
SRS404462,SRR823351,SRR823351_1.fastq.gz,SRR823351_2.fastq.gz,
SRS404462,SRR799048,SRR799048_1.fastq.gz,SRR799048_2.fastq.gz,
SRS404462,SRR798691,SRR798691_1.fastq.gz,SRR798691_2.fastq.gz,
SRS404463,SRR797770,SRR797770_1.fastq.gz,SRR797770_2.fastq.gz,
SRS404463,SRR798928,SRR798928_1.fastq.gz,SRR798928_2.fastq.gz,
SRS404463,SRR797728,SRR797728_1.fastq.gz,SRR797728_2.fastq.gz,
SRS404463,SRR799045,SRR799045_1.fastq.gz,SRR799045_2.fastq.gz,
SRS404463,SRR798828,SRR798828_1.fastq.gz,SRR798828_2.fastq.gz,
SRS404463,SRR798892,SRR798892_1.fastq.gz,SRR798892_2.fastq.gz,
SRS404463,SRR798905,SRR798905_1.fastq.gz,SRR798905_2.fastq.gz,
SRS404463,SRR798681,SRR798681_1.fastq.gz,SRR798681_2.fastq.gz,
SRS404466,SRR797761,SRR797761_1.fastq.gz,SRR797761_2.fastq.gz,
SRS404466,SRR797733,SRR797733_1.fastq.gz,SRR797733_2.fastq.gz,
SRS404466,SRR798983,SRR798983_1.fastq.gz,SRR798983_2.fastq.gz,
SRS404467,SRR822895,SRR822895_1.fastq.gz,SRR822895_2.fastq.gz,
SRS404467,SRR798286,SRR798286_1.fastq.gz,SRR798286_2.fastq.gz,
SRS404467,SRR798174,SRR798174_1.fastq.gz,SRR798174_2.fastq.gz,
SRS404467,SRR797732,SRR797732_1.fastq.gz,SRR797732_2.fastq.gz,
SRS404467,SRR822500,SRR822500_1.fastq.gz,SRR822500_2.fastq.gz,
SRS404467,SRR799020,SRR799020_1.fastq.gz,SRR799020_2.fastq.gz,
SRS404468,SRR822385,SRR822385_1.fastq.gz,SRR822385_2.fastq.gz,
SRS404468,SRR798652,SRR798652_1.fastq.gz,SRR798652_2.fastq.gz,
SRS404468,SRR797734,SRR797734_1.fastq.gz,SRR797734_2.fastq.gz,
SRS404468,SRR798873,SRR798873_1.fastq.gz,SRR798873_2.fastq.gz,
SRS404468,SRR798817,SRR798817_1.fastq.gz,SRR798817_2.fastq.gz,
SRS404468,SRR797753,SRR797753_1.fastq.gz,SRR797753_2.fastq.gz,
SRS404469,SRR797735,SRR797735_1.fastq.gz,SRR797735_2.fastq.gz,
SRS404469,SRR797797,SRR797797_1.fastq.gz,SRR797797_2.fastq.gz,
SRS404469,SRR799093,SRR799093_1.fastq.gz,SRR799093_2.fastq.gz,
