SAMN03247934	PMHc1023.ENR	SRS881212
SAMN03247933	PMHc1022.ENR	SRS881241
SAMN03247932	PMHc1020.CLIN.1	SRS881196
SAMN03247929	PMHc1018.ENR	SRS881208
SAMN03247925	PMHc1014.ENR	SRS881242
SAMN03247922	PMHc1011.ENR	SRS881158
SAMN03247921	PMHc1009.ENR	SRS881226
SAMN03247920	PMHc1002.ENR	SRS881210
SAMN03247919	PMHc1001.ENR	SRS885892
SAMN02412472	Cryptococcus neoformans var. grubii LP-RSA2297	SRS520174
SAMN02412469	Cryptococcus sp. TCl-11	SRS520184
SAMN02412467	Cryptococcus neoformans var. grubii MW-RSA1327	SRS520177
SAMN02412464	Cryptococcus neoformans var. grubii MW-RSA524	SRS520180
SAMN02412463	Cryptococcus neoformans var. grubii A1-84-14	SRS520173
SAMN02412461	Cryptococcus neoformans var. grubii MW-RSA913	SRS520181
SAMN02412460	Cryptococcus sp. TCl-14	SRS520185
SAMN02412459	Cryptococcus neoformans var. grubii WM626 (MMRL 3150)	SRS520182
SAMN02412458	Cryptococcus neoformans var. grubii MW-RSA3956	SRS520179
SAMN02412457	Cryptococcus neoformans var. grubii MW-RSA3834	SRS520178
SAMN02412454	Cryptococcus neoformans Bt35	SRS520130
SAMN01932965	Cryptococcus_neoformans var. grubii_AD5-45a	SRS417595
SAMN01932964	Cryptococcus_neoformans var. grubii_AD4-63a	SRS417591
SAMN01932963	Cryptococcus_neoformans var. grubii_AD4-92a	SRS417594
SAMN01932962	Cryptococcus_neoformans var. grubii_Bt204	SRS417635
SAMN01932961	Cryptococcus_neoformans var. grubii_AD3-58	SRS417585
SAMN01932960	Cryptococcus_neoformans var. grubii_AD3-41a	SRS417581
SAMN01932959	Cryptococcus_neoformans var. grubii_Tu406-1	SRS417668
SAMN01932958	Cryptococcus_neoformans var. grubii_Tu229-1	SRS417661
SAMN01932957	Cryptococcus_neoformans var. grubii_Bt142	SRS502193
SAMN01932956	Cryptococcus_neoformans var. grubii_AD3-11a	SRS417579
SAMN01932955	Cryptococcus_neoformans var. grubii_AD3-9a	SRS417597
SAMN01932954	Cryptococcus_neoformans var. grubii_Ug2459	SRS417676
SAMN01932953	Cryptococcus_neoformans var. grubii_AD3-95a	SRS417588
SAMN01932952	Cryptococcus_neoformans var. grubii_AD2-99a	SRS417586
SAMN01932951	Cryptococcus_neoformans var. grubii_Bt146	SRS417616
SAMN01932950	Cryptococcus_neoformans var. grubii_Bt115	SRS417607
SAMN01932949	Cryptococcus_neoformans var. grubii_PLR10	SRS417655
SAMN01932948	Cryptococcus_neoformans var. grubii_AD6-54a	SRS417600
SAMN01932947	Cryptococcus_neoformans var. grubii_Bt157	SRS417625
SAMN01932946	Cryptococcus_neoformans var. grubii_Jp1088	SRS417643
SAMN01932945	Cryptococcus_neoformans var. grubii_Bt147	SRS417618
SAMN01932944	Cryptococcus_neoformans var. grubii_Bt152	SRS417622
