group,strain,genbank,file
VNI,H99,GCA_011801205.1,VNI.fasta
VNII,VNII,GCA_022832995.1,VNII.fasta
VNBI,Ftc146-1,GCA_010065285.1,VNBI.fasta
VNBII,Bt81,GCA_023650555.1,VNBII.fasta
